filename,sample_time,0,1,2,3,4,5,6,7,8
random_1,0,2.0,0.75,0.275,0.375,0.275,0.2,0.05,0.025,0.05
random_1,100,2.7357,0.7714,0.0569,0.63525,0.0137,0.13955,0.00955,0.02545,0.0047
random_1,200,3.30805,2.6132,0.0259,0.4246,0.08795,0.0652,0.0188,0.01185,0.0303
random_1,300,1.62075,1.9067,0.0483,0.19405,0.2055,0.0523,0.03605,0.0076,0.01915
random_1,400,2.1715,0.02485,0.3223,0.2629,0.16765,0.0486,0.03225,0.00435,0.01055
random_1,500,2.12175,0.0,1.03265,0.3749,0.0,0.12005,5e-05,0.0027,0.0
random_1,600,2.0305,0.0,1.77265,0.14235,0.0,0.12415,0.0,0.00435,0.0
random_2,0,2.0,0.75,0.275,0.375,0.275,0.2,0.05,0.025,0.05
random_2,100,3.1788,0.59805,0.0547,0.7122,0.0204,0.1356,0.00925,0.026,0.0017
random_2,200,3.30825,2.36585,0.0275,0.28655,0.0817,0.0481,0.0134,0.0118,0.00355
random_2,300,0.61495,2.012,0.0553,0.3182,0.54925,0.06565,0.03565,0.0095,0.0077
random_2,400,2.2069,0.9165,0.32705,0.1674,0.2538,0.03555,0.0332,0.0037,0.00015
random_2,500,1.0517,0.0,1.4139,0.33255,0.13915,0.09825,0.0733,0.0034,0.0
random_2,600,1.8462,0.0,3.40575,0.0725,0.0,0.1114,0.00055,0.005,0.0
random_3,0,2.0,0.75,0.275,0.375,0.275,0.2,0.05,0.025,0.05
random_3,100,3.21925,0.4912,0.0498,0.70765,0.01145,0.1381,0.0102,0.0257,0.00185
random_3,200,3.4686,2.0822,0.02315,0.37645,0.0193,0.064,0.00805,0.01125,0.0046
random_3,300,1.1538,2.7202,0.0469,0.20225,0.38125,0.0463,0.0373,0.0071,0.0242
random_3,400,2.1576,0.96315,0.27335,0.43735,0.12925,0.07005,0.02855,0.00305,0.0437
random_3,500,1.30365,1.3581,1.16985,0.1861,0.0,0.0677,0.0,0.00215,0.0
random_3,600,2.11405,2.0538,2.562,0.1366,0.0,0.1903,0.0,0.0042,0.0
random_4,0,2.0,0.75,0.275,0.375,0.275,0.2,0.05,0.025,0.05
random_4,100,2.75055,0.3865,0.0501,0.7095,0.0134,0.1443,0.00905,0.02675,0.0022
random_4,200,3.84315,1.7096,0.02085,0.32315,0.0485,0.06455,0.0106,0.00925,0.0088
random_4,300,1.02,1.0412,0.042,0.24455,0.33405,0.05725,0.0221,0.00595,0.0254
random_4,400,2.62845,0.7465,0.2397,0.1964,0.0287,0.03545,0.0009,0.0024,0.0
random_4,500,1.34205,1.29445,1.1105,0.2329,0.0,0.115,0.0,0.00135,0.0
random_4,600,2.29895,1.95605,2.10535,0.1244,0.0,0.1272,0.0,0.00215,0.0
random_5,0,2.0,0.75,0.275,0.375,0.275,0.2,0.05,0.025,0.05
random_5,100,3.1301,0.4997,0.05085,0.67935,0.0118,0.1335,0.01055,0.02585,0.00165
random_5,200,3.38915,2.2399,0.02015,0.36415,0.0753,0.04485,0.01115,0.0123,0.0105
random_5,300,0.93305,1.9002,0.03895,0.24085,0.38775,0.04245,0.0282,0.0068,0.0263
random_5,400,2.9661,1.85415,0.2901,0.31735,0.01645,0.04185,0.0092,0.00235,0.0192
random_5,500,1.2613,0.8604,1.19945,0.23665,0.21095,0.0753,0.0158,0.0015,0.01655
random_5,600,2.0722,0.0,2.81655,0.16645,0.0,0.1129,0.0318,0.00145,0.013
random_6,0,2.0,0.75,0.275,0.375,0.275,0.2,0.05,0.025,0.05
random_6,100,3.1132,0.40655,0.05545,0.7026,0.0102,0.1344,0.0062,0.02515,0.00245
random_6,200,3.7549,1.717,0.02545,0.33695,0.0489,0.049,0.01405,0.00905,0.00965
random_6,300,0.4124,1.61515,0.0586,0.17445,0.1643,0.03605,0.0273,0.00875,0.01565
random_6,400,2.27155,2.0185,0.38,0.3314,0.14455,0.0362,0.0364,0.00205,0.0055
random_6,500,1.02965,2.76,1.56585,0.13125,0.0,0.07575,0.0118,0.0021,0.0
random_6,600,1.41545,3.2222,2.73425,0.10775,0.0,0.16275,0.08585,0.00465,0.0
random_7,0,2.0,0.75,0.275,0.375,0.275,0.2,0.05,0.025,0.05
random_7,100,2.2836,0.6283,0.07605,0.6469,0.0156,0.14615,0.01005,0.0263,0.0047
random_7,200,3.8144,1.94905,0.0546,0.59465,0.1198,0.10855,0.0124,0.01455,0.02495
random_7,300,1.6106,1.41185,0.13115,0.13195,0.24345,0.04395,0.0301,0.01065,0.03285
random_7,400,2.2313,0.4342,0.97305,0.28875,0.10385,0.08825,0.01455,0.00725,0.0051
random_7,500,2.69355,0.0,2.8173,0.25695,0.03235,0.1924,0.0,0.01015,0.0
random_7,600,2.6828,0.0,2.21885,0.0363,0.0,0.42945,0.0,0.02225,0.0
random_8,0,2.0,0.75,0.275,0.375,0.275,0.2,0.05,0.025,0.05
random_8,100,2.2863,0.44455,0.0726,0.64105,0.01915,0.1447,0.0103,0.0281,0.0032
random_8,200,4.0553,2.245,0.0614,0.5397,0.0692,0.08605,0.0093,0.0143,0.01015
random_8,300,1.1878,2.23115,0.13575,0.21085,0.30665,0.04085,0.01795,0.01125,0.0363
random_8,400,2.5405,0.98255,0.9881,0.2683,0.37655,0.0795,0.01555,0.0079,0.0161
random_8,500,1.63785,0.0,2.9842,0.1401,0.01455,0.18835,0.04345,0.01105,0.0
random_8,600,1.76875,0.0,2.78945,0.0513,0.0,0.4239,0.0,0.0237,0.0
random_9,0,2.0,0.75,0.275,0.375,0.275,0.2,0.05,0.025,0.05
random_9,100,2.2258,0.5434,0.0775,0.65285,0.00825,0.15095,0.0093,0.0266,0.00265
random_9,200,3.9773,2.20015,0.0619,0.55935,0.03685,0.09745,0.0166,0.0132,0.01265
random_9,300,1.13085,2.1708,0.1362,0.19625,0.33315,0.04925,0.05705,0.0102,0.00065
random_9,400,1.83275,0.07725,0.81595,0.37375,0.46205,0.0816,0.0804,0.0065,0.0
random_9,500,1.98725,0.0,2.5965,0.2107,0.0,0.1747,0.00175,0.00855,0.0
random_9,600,1.43275,0.0,2.5881,0.0791,0.0,0.39325,0.0,0.01545,0.0
random_10,0,2.0,0.75,0.275,0.375,0.275,0.2,0.05,0.025,0.05
random_10,100,2.4516,0.48795,0.0761,0.64695,0.00965,0.1436,0.00945,0.02695,0.00435
random_10,200,4.18485,2.29145,0.05565,0.6228,0.0402,0.083,0.0092,0.014,0.0206
random_10,300,0.63865,0.868,0.12725,0.15415,0.4434,0.0535,0.0384,0.0134,0.07615
random_10,400,2.44515,0.0,1.01895,0.27705,0.0,0.03465,0.00575,0.00775,0.0
random_10,500,0.606,0.0,3.6493,0.09655,0.0,0.08185,0.0,0.01175,0.0
random_10,600,1.8765,0.0,4.9221,0.0539,0.0,0.2936,0.0,0.0286,0.0
random_11,0,2.0,0.75,0.275,0.375,0.275,0.2,0.05,0.025,0.05
random_11,100,2.1088,1.22305,0.08225,0.6169,0.0282,0.1473,0.0166,0.02785,0.0106
random_11,200,3.58715,3.1234,0.06505,0.45735,0.22545,0.0952,0.03185,0.0184,0.0471
random_11,300,1.097,1.01045,0.13335,0.22295,0.20725,0.068,0.0468,0.01445,0.03685
random_11,400,2.05305,0.0,0.97855,0.5214,0.1274,0.1264,0.0035,0.00955,0.01185
random_11,500,1.56045,0.0,3.03415,0.06735,0.0,0.12895,0.0,0.0104,0.0
random_11,600,2.6625,0.0,2.6149,0.0825,0.0,0.6415,0.0,0.02415,0.0
random_12,0,2.0,0.75,0.275,0.375,0.275,0.2,0.05,0.025,0.05
random_12,100,2.5078,0.90635,0.0716,0.63655,0.0179,0.14135,0.00975,0.02655,0.0035
random_12,200,3.1276,3.16735,0.05805,0.5705,0.15285,0.08465,0.01025,0.0147,0.0126
random_12,300,0.94675,2.9363,0.1728,0.16395,0.56645,0.0446,0.02975,0.011,0.05355
random_12,400,1.40145,0.0652,1.21885,0.3168,0.0995,0.06145,0.05555,0.0101,0.06475
random_12,500,1.58195,0.0,3.51135,0.2487,0.0,0.12795,0.00025,0.01515,0.0
random_12,600,1.48745,0.0,2.7211,0.1132,0.0,0.3867,0.0,0.0337,0.0
random_13,0,2.0,0.75,0.275,0.375,0.275,0.2,0.05,0.025,0.05
random_13,100,2.1034,0.7024,0.07795,0.59415,0.01955,0.1433,0.0111,0.02585,0.0045
random_13,200,3.0624,2.25225,0.05565,0.50975,0.1328,0.1069,0.0235,0.0152,0.02275
random_13,300,1.59535,1.53395,0.1477,0.29515,0.1636,0.0821,0.03905,0.01165,0.005
random_13,400,3.21355,2.0624,0.91175,0.2806,0.07675,0.1433,0.0101,0.0073,0.00995
random_13,500,1.6925,0.0,2.00045,0.126,0.0309,0.21245,0.03315,0.0094,0.02705
random_13,600,2.14195,0.0,1.7386,0.0289,0.0,0.4482,0.0,0.0189,0.0
random_14,0,2.0,0.75,0.275,0.375,0.275,0.2,0.05,0.025,0.05
random_14,100,2.11525,1.23505,0.07995,0.5885,0.0203,0.14475,0.0121,0.02715,0.0042
random_14,200,3.8439,4.019,0.069,0.67035,0.15735,0.0998,0.01875,0.0162,0.0256
random_14,300,1.60215,0.8701,0.12685,0.13695,0.56995,0.07575,0.0477,0.01545,0.02845
random_14,400,2.2311,0.0,0.8422,0.3034,0.00665,0.11575,0.0082,0.0083,0.0
random_14,500,2.42985,0.0,2.07965,0.2189,0.0,0.2061,0.0,0.0103,0.0
random_14,600,2.12365,0.0,1.87395,0.0839,0.0,0.41785,0.0,0.01605,0.0
random_15,0,2.0,0.75,0.275,0.375,0.275,0.2,0.05,0.025,0.05
random_15,100,2.0164,0.5783,0.0727,0.5619,0.0179,0.1436,0.01395,0.02825,0.00295
random_15,200,3.1713,1.244,0.05445,0.75095,0.1671,0.12465,0.0277,0.015,0.01205
