filename,r,sample_time,sample_id,shannon,simpson
random_1,1,0,0,0.0,0.0
random_1,1,0,1,-0.0,0.0
random_1,1,0,2,0.0,0.0
random_1,1,0,3,-0.0,0.0
random_1,1,0,4,0.6931471805599453,0.5
random_1,1,0,5,-0.0,0.0
random_1,1,0,6,0.6931471805599453,0.5
random_1,1,0,7,-0.0,0.0
random_1,1,0,8,0.0,0.0
random_1,1,0,9,-0.0,0.0
random_1,1,0,10,0.0,0.0
random_1,1,0,11,-0.0,0.0
random_1,1,0,12,0.6931471805599453,0.5
random_1,1,0,13,-0.0,0.0
random_1,1,0,14,0.6931471805599453,0.5
random_1,1,0,15,-0.0,0.0
random_1,2,0,0,0.6365141682948128,0.4444444444444444
random_1,2,0,1,0.6365141682948128,0.4444444444444444
random_1,2,0,2,0.6365141682948128,0.4444444444444444
random_1,2,0,3,0.6365141682948128,0.4444444444444444
random_1,2,0,4,1.0986122886681096,0.6666666666666667
random_1,2,0,5,0.9502705392332347,0.5599999999999999
random_1,2,0,6,1.0986122886681096,0.6666666666666667
random_1,2,0,7,0.9502705392332347,0.5599999999999999
random_1,2,0,8,0.6365141682948128,0.4444444444444444
random_1,2,0,9,0.6365141682948128,0.4444444444444444
random_1,2,0,10,0.6365141682948128,0.4444444444444444
random_1,2,0,11,0.6365141682948128,0.4444444444444444
random_1,2,0,12,1.0986122886681096,0.6666666666666667
random_1,2,0,13,0.9502705392332347,0.5599999999999999
random_1,2,0,14,1.0986122886681096,0.6666666666666667
random_1,2,0,15,0.9502705392332347,0.5599999999999999
random_1,3,0,0,0.8486855577264172,0.49382716049382713
random_1,3,0,1,1.277034259466139,0.6938775510204082
random_1,3,0,2,0.8486855577264172,0.49382716049382713
random_1,3,0,3,1.277034259466139,0.6938775510204082
random_1,3,0,4,1.2148896539491205,0.6666666666666667
random_1,3,0,5,1.0335620542068176,0.5454545454545455
random_1,3,0,6,1.2148896539491205,0.6666666666666667
random_1,3,0,7,1.0335620542068176,0.5454545454545455
random_1,3,0,8,0.8486855577264172,0.49382716049382713
random_1,3,0,9,1.277034259466139,0.6938775510204082
random_1,3,0,10,0.8486855577264172,0.49382716049382713
random_1,3,0,11,1.277034259466139,0.6938775510204082
random_1,3,0,12,1.2148896539491205,0.6666666666666667
random_1,3,0,13,1.0335620542068176,0.5454545454545455
random_1,3,0,14,1.2148896539491205,0.6666666666666667
random_1,3,0,15,1.0335620542068176,0.5454545454545455
random_1,4,0,0,1.3316643102930146,0.673469387755102
