filename,r,mae,mdae
random_1,1,0.27268333333333333,0.18029285714285712
random_1,2,0.24968589743589747,0.13523791208791208
random_1,3,0.2509801587301588,0.11057142857142857
random_1,4,0.2494158149438637,0.1224878048780488
random_1,5,0.2505391751236013,0.13356908665105385
random_2,1,0.4695087301587302,0.13743571428571427
random_2,2,0.44142570207570203,0.09340659340659342
random_2,3,0.4374452380952381,0.08285714285714285
random_2,4,0.4464734998064267,0.09930313588850175
random_2,5,0.4437476060369503,0.10655737704918034
random_3,1,0.42844047619047615,0.1277142857142857
random_3,2,0.3901010378510378,0.07826373626373631
random_3,3,0.38844047619047617,0.09743571428571426
random_3,4,0.3903839527680991,0.10468310104529614
random_3,5,0.3802229378090034,0.11717564402810307
random_4,1,0.3395515873015873,0.05714285714285715
random_4,2,0.31867246642246644,0.11672527472527475
random_4,3,0.31923412698412695,0.12886428571428568
random_4,4,0.3088428377855207,0.11811759581881531
random_4,5,0.3153323054905022,0.1277142857142857
random_5,1,0.5030436507936508,0.1285714285714286
random_5,2,0.4267310744810745,0.12424890109890108
random_5,3,0.4424087301587302,0.11172142857142855
random_5,4,0.4538292876500194,0.11687822299651567
random_5,5,0.4489518735362997,0.12478934426229507
random_6,1,0.4443134920634921,0.05714285714285715
random_6,2,0.4175735653235654,0.05628571428571433
random_6,3,0.4589166666666666,0.05628571428571427
random_6,4,0.4778323848238482,0.06673867595818817
random_6,5,0.47601406453291706,0.06916627634660422
random_7,1,0.28558333333333336,0.05714285714285715
random_7,2,0.2656015262515262,0.07479835164835164
random_7,3,0.264429365079365,0.04886428571428569
random_7,4,0.25696517615176145,0.06809773519163762
random_7,5,0.2554832292479834,0.08146381733021077
random_8,1,0.33477857142857137,0.0945785714285714
random_8,2,0.37854413919413915,0.1022708791208791
random_8,3,0.37554047619047626,0.06600714285714282
random_8,4,0.37427063492063495,0.08241811846689895
random_8,5,0.3918350377309393,0.09375644028103045
random_9,1,0.38875793650793655,0.08571428571428573
random_9,2,0.37850152625152617,0.03296703296703297
random_9,3,0.3763769841269841,0.03914285714285712
random_9,4,0.38162642276422765,0.05454355400696864
random_9,5,0.38975333073119955,0.06624133489461359
random_10,1,0.5218896825396826,0.12315
random_10,2,0.5201802808302808,0.11875439560439559
random_10,3,0.504313492063492,0.11743571428571427
random_10,4,0.5177084978706931,0.10119878048780485
random_10,5,0.51999012490242,0.11190878220140515
random_11,1,0.3935087301587301,0.0945785714285714
random_11,2,0.37976514041514037,0.05628571428571433
random_11,3,0.3806198412698413,0.05743571428571426
random_11,4,0.38240071622144794,0.05938693379790938
random_11,5,0.37830394223263075,0.05218981264637004
random_12,1,0.36633412698412693,0.08029285714285714
random_12,2,0.3657236263736264,0.07142857142857142
random_12,3,0.3825246031746031,0.09142857142857143
random_12,4,0.3769806620209059,0.08710801393728222
random_12,5,0.37062764767109024,0.09953161592505855
random_13,1,0.2548404761904762,0.04199999999999998
