filename,sample_time,r,mser
random_1,0,1,-0.0297643097643097
random_1,0,2,-0.0326728826728826
random_1,0,3,-0.0182626262626262
random_1,0,4,-0.0090293175659029
random_1,0,5,-0.0097091129878015
random_1,100,1,-0.0113720951885314
random_1,100,2,-0.016077331645749
random_1,100,3,-0.0182751152664472
random_1,100,4,-0.0156496746663987
random_1,100,5,-0.0148633470201579
random_1,200,1,-0.0299249208211785
random_1,200,2,-0.0312399007760881
random_1,200,3,-0.0262320431228744
random_1,200,4,-0.0282644051961548
random_1,200,5,-0.0206102557936615
random_1,300,1,0.0683409132259167
random_1,300,2,0.0112971559551032
random_1,300,3,0.0128077715542435
random_1,300,4,0.0016550707603798
random_1,300,5,-0.007600770934488
random_1,400,1,-0.0405353154584238
random_1,400,2,-0.0358839386981851
random_1,400,3,-0.0338695997482587
random_1,400,4,-0.03516095765987
random_1,400,5,-0.0320435632818448
random_1,500,1,-0.0008969881802628
random_1,500,2,-0.0116958017088188
random_1,500,3,-0.0120148641876397
random_1,500,4,-0.0122090562438833
random_1,500,5,-0.0116633377405315
random_1,600,1,-0.016659414849065
random_1,600,2,-0.0089723036591062
random_1,600,3,-0.0106508413148224
random_1,600,4,-0.0104175463974525
random_1,600,5,0.0015884214666412
random_2,0,1,-0.0297643097643097
random_2,0,2,-0.0326728826728826
random_2,0,3,-0.0182626262626262
random_2,0,4,-0.0090293175659029
random_2,0,5,-0.0097091129878015
random_2,100,1,-0.0121105008605093
random_2,100,2,-0.0029795691298707
random_2,100,3,-0.0029281043750925
random_2,100,4,-0.0033063730411066
random_2,100,5,-0.0159466012942379
random_2,200,1,-0.0217642877976209
random_2,200,2,-0.017761577860676
random_2,200,3,-0.013574999455506
random_2,200,4,-0.0011212030145435
random_2,200,5,-0.0138502066232433
random_2,300,1,0.0063089410965956
random_2,300,2,-0.001751433210656
random_2,300,3,-0.0027740600365879
random_2,300,4,0.0017522067934117
random_2,300,5,-0.0015860892039655
random_2,400,1,-0.0168073008367478
random_2,400,2,-0.0138737267804501
random_2,400,3,-0.0095325219369114
random_2,400,4,-0.0146373625417903
random_2,400,5,-0.0140820320315075
random_2,500,1,-0.005890055516219
random_2,500,2,-0.0127572693173647
random_2,500,3,-0.0140012043249803
random_2,500,4,-0.0128683273745757
random_2,500,5,-0.0141579243849742
random_2,600,1,0.0971682799026808
random_2,600,2,0.0340247314209907
random_2,600,3,0.0104792782812319
random_2,600,4,0.0072328284740258
random_2,600,5,0.0008389530050377
random_3,0,1,-0.0297643097643097
random_3,0,2,-0.0326728826728826
random_3,0,3,-0.0182626262626262
random_3,0,4,-0.0090293175659029
random_3,0,5,-0.0097091129878015
random_3,100,1,-0.0431578893387022
random_3,100,2,-0.0391359284023349
random_3,100,3,-0.0237973941157988
random_3,100,4,-0.0286294827132333
random_3,100,5,-0.0237510297917794
random_3,200,1,-0.0351822649076095
random_3,200,2,-0.0223992722758199
random_3,200,3,-0.0262339229495047
random_3,200,4,-0.0217007803610956
random_3,200,5,-0.0232706852242575
random_3,300,1,-0.0285432375364005
random_3,300,2,0.0238393785044591
random_3,300,3,0.0140929033358129
random_3,300,4,0.0219576310060716
random_3,300,5,0.0161011901539444
random_3,400,1,-0.0290781027517963
random_3,400,2,-0.0311822845099569
random_3,400,3,-0.0280510833020996
random_3,400,4,-0.0298359943149775
random_3,400,5,-0.0296390400623526
random_3,500,1,-0.0050863030184568
random_3,500,2,-0.0116204556194497
random_3,500,3,-0.0085277034625249
random_3,500,4,-0.0122468458320675
random_3,500,5,-0.0137693683321673
random_3,600,1,-0.0163657751266103
random_3,600,2,-0.0149797483484532
random_3,600,3,-0.0080437670273744
random_3,600,4,-0.0088085016310127
random_3,600,5,-0.0099312822547493
random_4,0,1,-0.0297643097643097
random_4,0,2,-0.0326728826728826
random_4,0,3,-0.0182626262626262
random_4,0,4,-0.0090293175659029
random_4,0,5,-0.0097091129878015
random_4,100,1,-0.0373873606103904
random_4,100,2,0.0199789581244704
random_4,100,3,-0.0049725833371094
random_4,100,4,-0.0170662582646062
random_4,100,5,-0.0127347444507328
random_4,200,1,-0.0396538723278545
random_4,200,2,-0.0081395867085521
random_4,200,3,-0.0145996401636799
random_4,200,4,-0.0128546256609654
random_4,200,5,-0.0137683186756697
random_4,300,1,-0.0148996946873076
random_4,300,2,-0.0241488690388348
random_4,300,3,-0.0261304779140976
random_4,300,4,-0.0260688446332987
random_4,300,5,-0.0305502581374315
random_4,400,1,-0.0164474657371548
random_4,400,2,-0.0159133338381333
random_4,400,3,-0.0222636915209726
random_4,400,4,-0.020960304348115
random_4,400,5,-0.0205857853164629
random_4,500,1,-0.0150930873369742
random_4,500,2,-0.0112614137820462
random_4,500,3,-0.0052825608127282
random_4,500,4,0.0435845551782576
random_4,500,5,0.0263790353200396
random_4,600,1,-0.0073744414028061
random_4,600,2,-0.0122538020825767
random_4,600,3,-0.0117200620362462
random_4,600,4,-0.0081972735385357
random_4,600,5,-0.0075056656281242
random_5,0,1,-0.0297643097643097
random_5,0,2,-0.0326728826728826
random_5,0,3,-0.0182626262626262
random_5,0,4,-0.0090293175659029
random_5,0,5,-0.0097091129878015
random_5,100,1,-0.0335155405450904
random_5,100,2,-0.0071234816593955
random_5,100,3,-0.0138464600480163
random_5,100,4,-0.0150839156931978
random_5,100,5,-0.017857361689556
random_5,200,1,-0.0241421063839578
random_5,200,2,0.0092906057498289
random_5,200,3,-0.009401295528602
random_5,200,4,-0.0102855572615826
random_5,200,5,-0.0019395788124043
random_5,300,1,0.0256524733840413
random_5,300,2,0.0110616104952222
random_5,300,3,0.0116218064389841
random_5,300,4,0.0014099438366093
random_5,300,5,0.0155061279666647
random_5,400,1,-0.0146511278933537
random_5,400,2,-0.0211478552340046
random_5,400,3,-0.0231533256066801
random_5,400,4,-0.0218605971934513
random_5,400,5,-0.0219093039270197
random_5,500,1,-0.0159660430953226
random_5,500,2,0.0139855833486057
random_5,500,3,0.0874638699918664
random_5,500,4,0.0635532156639368
