filename,sample_time,r,mser
random_1,0,1,-0.0254208754208754
random_1,0,2,-0.0289864456531123
random_1,0,3,-0.0125701459034792
random_1,0,4,-0.0073403410801784
random_1,0,5,-0.0025427315044801
random_1,100,1,0.0199054620150186
random_1,100,2,-0.0081297893682782
random_1,100,3,-0.019532560493672
random_1,100,4,-0.0168861495620334
random_1,100,5,-0.0176018256588286
random_1,200,1,-0.0240473979192719
random_1,200,2,-0.0230831237383678
random_1,200,3,-0.0282433066388386
random_1,200,4,-0.0314588414324806
random_1,200,5,-0.0227595940281275
random_1,300,1,-0.0148101642451083
random_1,300,2,-0.0147984874694846
random_1,300,3,-0.0033093900708378
random_1,300,4,-0.0008671979162771
random_1,300,5,-0.0062073283336628
random_1,400,1,-0.0447211696061793
random_1,400,2,-0.0408577157408527
random_1,400,3,-0.0321296886539643
random_1,400,4,-0.0117435830579246
random_1,400,5,-0.0133699464537663
random_1,500,1,0.0243453517753727
random_1,500,2,0.0076507805330963
random_1,500,3,0.0015795675033747
random_1,500,4,0.0325469486602097
random_1,500,5,0.0447667030216712
random_1,600,1,-0.0145252991919095
random_1,600,2,-0.0062767132666022
random_1,600,3,-0.0061424155870404
random_1,600,4,-0.0090769679623761
random_1,600,5,0.0067628291010675
random_2,0,1,-0.0254208754208754
random_2,0,2,-0.0289864456531123
random_2,0,3,-0.0125701459034792
random_2,0,4,-0.0073403410801784
random_2,0,5,-0.0025427315044801
random_2,100,1,-0.0428103752259339
random_2,100,2,-0.0294040701954842
random_2,100,3,-0.0327497522672317
random_2,100,4,-0.0268155416286609
random_2,100,5,-0.0300153223900759
random_2,200,1,-0.0488804643833737
random_2,200,2,-0.0392857080318075
random_2,200,3,-0.0255165137207607
random_2,200,4,-0.0121728714808129
random_2,200,5,-0.0219201703103488
random_2,300,1,-0.0078270625042466
random_2,300,2,-0.0143821469016011
random_2,300,3,-0.0121013620251029
random_2,300,4,-0.0008014806037426
random_2,300,5,-0.0041368738304911
random_2,400,1,-0.0166502044059789
random_2,400,2,-0.0122872646405272
random_2,400,3,-0.0090311172615048
random_2,400,4,-0.0164414014189171
random_2,400,5,-0.0198761124386091
random_2,500,1,-0.0065005574035809
random_2,500,2,-0.0230690538875759
random_2,500,3,-0.0224066735468857
random_2,500,4,-0.0249401755838697
random_2,500,5,-0.0257314286863757
random_2,600,1,-0.0018350192411246
random_2,600,2,0.0083144616976347
random_2,600,3,0.0001946534464044
random_2,600,4,0.0001039182233928
random_2,600,5,-0.0026329488632657
random_3,0,1,-0.0254208754208754
random_3,0,2,-0.0289864456531123
random_3,0,3,-0.0125701459034792
random_3,0,4,-0.0073403410801784
random_3,0,5,-0.0025427315044801
random_3,100,1,-0.0426142391430426
random_3,100,2,-0.0334982678712371
random_3,100,3,-0.0250668063795873
random_3,100,4,-0.028388677976928
random_3,100,5,-0.0310865988381199
random_3,200,1,-0.0374033891678739
random_3,200,2,0.0105247010512878
random_3,200,3,-0.0109846964082197
random_3,200,4,0.0077083857942821
random_3,200,5,-0.0048702697591841
random_3,300,1,-0.0168350728339408
random_3,300,2,0.0583687767840798
random_3,300,3,0.0438433253050936
random_3,300,4,0.0392849943420871
random_3,300,5,0.03198023194301
random_3,400,1,-0.0278947607246756
random_3,400,2,0.0631180793147204
random_3,400,3,0.0215414215422044
random_3,400,4,0.0019104617646803
random_3,400,5,-0.0096012714707971
random_3,500,1,0.014893707515719
random_3,500,2,0.0075859764234469
random_3,500,3,0.0124026827616012
random_3,500,4,0.0047839886315533
random_3,500,5,0.0012727388572993
random_3,600,1,-0.0106314677121284
random_3,600,2,-0.0072829622101595
random_3,600,3,0.0023303890281628
random_3,600,4,0.0009130016468267
random_3,600,5,-0.0019378465927797
random_4,0,1,-0.0254208754208754
random_4,0,2,-0.0289864456531123
random_4,0,3,-0.0125701459034792
random_4,0,4,-0.0073403410801784
random_4,0,5,-0.0025427315044801
random_4,100,1,-0.0350350987565405
random_4,100,2,-0.037419350630787
random_4,100,3,-0.0387108792769521
random_4,100,4,-0.0377399526681241
random_4,100,5,-0.022005082209658
random_4,200,1,-0.0486507981251876
random_4,200,2,-0.0427111135809065
random_4,200,3,-0.0363852260441096
random_4,200,4,-0.0352166373819234
random_4,200,5,-0.030289834411026
random_4,300,1,0.099517219974763
random_4,300,2,0.0122997366763756
random_4,300,3,0.0139202664484415
random_4,300,4,-0.0026100655580965
random_4,300,5,-0.0149105614884362
random_4,400,1,-0.0371366129862639
random_4,400,2,-0.0304229327960821
random_4,400,3,-0.0301419489777689
random_4,400,4,-0.025135852593378
random_4,400,5,-0.0252597646181039
random_4,500,1,-0.0217511317153723
random_4,500,2,-0.0202392221235385
random_4,500,3,-0.0134171294072661
random_4,500,4,-0.0116066209321473
random_4,500,5,-0.0107926437963919
random_4,600,1,-0.0262965865621006
random_4,600,2,-0.0206840328055209
random_4,600,3,-0.0049311467672397
random_4,600,4,-0.001825471487082
random_4,600,5,-0.0056085634457296
random_5,0,1,-0.0254208754208754
random_5,0,2,-0.0289864456531123
random_5,0,3,-0.0125701459034792
random_5,0,4,-0.0073403410801784
random_5,0,5,-0.0025427315044801
random_5,100,1,-0.0277292954059734
random_5,100,2,-0.0169267449193033
random_5,100,3,-0.0213797485934718
random_5,100,4,-0.0218495893959955
random_5,100,5,-0.0202046288643139
random_5,200,1,-0.037643557147323
random_5,200,2,-0.0091952890852887
random_5,200,3,-0.0203373599177726
random_5,200,4,-0.026793472463959
random_5,200,5,-0.0218626465901495
random_5,300,1,-0.0157649411555427
random_5,300,2,-0.0284201740840737
random_5,300,3,-0.0298350919923858
random_5,300,4,-0.0284295669173092
random_5,300,5,-0.0184369737449505
random_5,400,1,-0.0264850356093227
random_5,400,2,-0.0236130545916563
random_5,400,3,-0.0258152266537981
random_5,400,4,-0.0182243237369746
random_5,400,5,-0.0193558564962387
random_5,500,1,-0.0008084491189496
random_5,500,2,0.0302795163694189
random_5,500,3,0.1290070051872204
random_5,500,4,0.0957390242194951
random_5,500,5,0.0734748904513535
random_5,600,1,-0.0212003745692123
random_5,600,2,-0.0175141357620212
random_5,600,3,-0.0157919237633684
random_5,600,4,-0.010442910763252
random_5,600,5,-0.0054762814796934
random_6,0,1,-0.0254208754208754
random_6,0,2,-0.0289864456531123
random_6,0,3,-0.0125701459034792
random_6,0,4,-0.0073403410801784
random_6,0,5,-0.0025427315044801
random_6,100,1,-0.0153195402040387
random_6,100,2,-0.0274573541976374
random_6,100,3,-0.0255363141375956
random_6,100,4,-0.0251217140607977
random_6,100,5,-0.0236340021752388
random_6,200,1,0.0057641684965106
random_6,200,2,-0.0006132644152585
random_6,200,3,-0.0093976010008698
random_6,200,4,-0.007387173612108
random_6,200,5,0.0022720443615374
random_6,300,1,-0.0121654850290904
random_6,300,2,-0.0188369326091129
random_6,300,3,-0.0150961317502848
random_6,300,4,-0.0163848422041975
random_6,300,5,-0.0164124663905989
random_6,400,1,-0.0327018818260461
random_6,400,2,-0.0276782928369968
random_6,400,3,-0.0238947220691726
random_6,400,4,-0.0220712355818813
random_6,400,5,0.0073058904272177
random_6,500,1,-0.015293471498162
random_6,500,2,-0.0148050375608694
random_6,500,3,0.058954200713652
random_6,500,4,0.0336505446001314
random_6,500,5,0.047975163074629
random_6,600,1,0.0001747868136002
random_6,600,2,0.0127590216333616
random_6,600,3,0.0114872288708527
random_6,600,4,0.0038712086977877
random_6,600,5,0.0010045705110727
random_7,0,1,-0.0254208754208754
random_7,0,2,-0.0289864456531123
random_7,0,3,-0.0125701459034792
random_7,0,4,-0.0073403410801784
random_7,0,5,-0.0025427315044801
random_7,100,1,-0.0056793565300232
random_7,100,2,-0.0131581462059699
random_7,100,3,-0.0231467560545738
random_7,100,4,-0.0213709434786077
random_7,100,5,-0.0253531397369348
random_7,200,1,-0.0386290360553755
random_7,200,2,-0.0334027816858635
random_7,200,3,-0.0291455342936532
random_7,200,4,-0.0296718339990207
random_7,200,5,-0.0339468395029827
random_7,300,1,-0.0440210917486467
random_7,300,2,-0.0419902804286897
random_7,300,3,-0.0391605351383615
random_7,300,4,-0.0282711615418834
random_7,300,5,-0.0259139140572381
random_7,400,1,-0.0170591827533255
random_7,400,2,-0.0280311874165673
random_7,400,3,-0.0283531944726748
random_7,400,4,-0.005409468587964
random_7,400,5,-0.0077189214977423
random_7,500,1,-0.0191539588677285
random_7,500,2,-0.0138066217482628
random_7,500,3,-0.010896936600546
random_7,500,4,0.0077958629806572
random_7,500,5,0.0088519315661755
random_7,600,1,-0.0099118463322521
random_7,600,2,-0.0110564609339609
random_7,600,3,0.0165438539842281
random_7,600,4,0.0155589486675998
random_7,600,5,0.012944464944698
random_8,0,1,-0.0254208754208754
random_8,0,2,-0.0289864456531123
random_8,0,3,-0.0125701459034792
random_8,0,4,-0.0073403410801784
random_8,0,5,-0.0025427315044801
random_8,100,1,-0.0056291686390689
random_8,100,2,0.0054346374567378
random_8,100,3,-0.0070642623092484
random_8,100,4,-0.0022096877235167
random_8,100,5,-0.0025204435411917
random_8,200,1,-0.0221043259227426
random_8,200,2,-0.0147846505226998
random_8,200,3,-0.0087151194152187
random_8,200,4,-0.0066271896819356
random_8,200,5,-0.0074726102859604
random_8,300,1,-0.0209911875133228
random_8,300,2,-0.022193510802857
random_8,300,3,-0.008088459880704
random_8,300,4,-0.013512692838015
random_8,300,5,-0.0100308669471246
random_8,400,1,-0.0235937902715362
random_8,400,2,-0.0078758823553971
random_8,400,3,-0.0207994166578957
random_8,400,4,-0.0201919532446375
random_8,400,5,-0.0121708878720953
random_8,500,1,-0.0171461452454457
random_8,500,2,-0.0202033358836324
random_8,500,3,-0.0131536764252136
random_8,500,4,-0.0138455235824416
random_8,500,5,-0.0152386389570028
random_8,600,1,-0.0125785631244097
random_8,600,2,-0.0062373824744401
random_8,600,3,-0.0076642634547933
random_8,600,4,-0.0004071935301695
random_8,600,5,-0.0001880978137334
random_9,0,1,-0.0254208754208754
random_9,0,2,-0.0289864456531123
random_9,0,3,-0.0125701459034792
random_9,0,4,-0.0073403410801784
random_9,0,5,-0.0025427315044801
random_9,100,1,-0.0442062083497102
random_9,100,2,-0.0315184633645445
random_9,100,3,-0.0252304895010543
random_9,100,4,-0.0232535104499484
random_9,100,5,-0.0229015012440131
random_9,200,1,-0.0430472609237283
random_9,200,2,-0.0362424283692116
random_9,200,3,-0.0387641810653492
random_9,200,4,-0.0383551425935617
random_9,200,5,-0.0387702065949575
random_9,300,1,-0.0112379557781114
random_9,300,2,-0.0112548098852824
random_9,300,3,-0.0053306695082626
random_9,300,4,-0.0092590226837715
random_9,300,5,-0.0079020760865439
random_9,400,1,-0.0318330190446089
random_9,400,2,-0.0316217735231217
random_9,400,3,-0.0287892205303849
random_9,400,4,-0.0229262385013767
random_9,400,5,-0.0215765716484983
random_9,500,1,-0.0236794611938489
random_9,500,2,-0.0189342429473824
random_9,500,3,0.0640845103493529
random_9,500,4,0.031771087318112
random_9,500,5,0.0219113681467115
random_9,600,1,-0.0055818147053237
random_9,600,2,-0.001411583050945
random_9,600,3,-0.005560019123222
random_9,600,4,-0.003456287764051
random_9,600,5,-0.0064144783027846
random_10,0,1,-0.0254208754208754
random_10,0,2,-0.0289864456531123
random_10,0,3,-0.0125701459034792
random_10,0,4,-0.0073403410801784
random_10,0,5,-0.0025427315044801
random_10,100,1,0.0068178082911364
random_10,100,2,-0.0089604832983637
random_10,100,3,-0.0241133457855677
random_10,100,4,-0.0278817539715753
random_10,100,5,-0.0201323882096839
random_10,200,1,-0.0130318169413292
random_10,200,2,-0.0059664618376698
random_10,200,3,-0.0036356422700147
random_10,200,4,-0.0092898903310546
random_10,200,5,-0.0121662824839419
random_10,300,1,0.0126636326664725
random_10,300,2,-0.0211511938575668
random_10,300,3,-0.0229780639635793
random_10,300,4,-0.0133062612453183
random_10,300,5,-0.0133684712379615
random_10,400,1,0.0096520852248294
random_10,400,2,0.0177116728823835
random_10,400,3,0.0023330438090778
random_10,400,4,0.0143670322078243
random_10,400,5,0.0105636748904585
random_10,500,1,0.000177999823038
random_10,500,2,0.0218621713519522
random_10,500,3,0.0096949741978869
random_10,500,4,0.0069182985371358
random_10,500,5,0.0051898998687273
random_10,600,1,0.0131988030388618
random_10,600,2,0.0073288931676996
random_10,600,3,-0.0011979275230595
random_10,600,4,-0.0010502746077137
random_10,600,5,0.0017684875869867
random_11,0,1,-0.0254208754208754
random_11,0,2,-0.0289864456531123
random_11,0,3,-0.0125701459034792
random_11,0,4,-0.0073403410801784
random_11,0,5,-0.0025427315044801
random_11,100,1,-0.0442328506176061
random_11,100,2,-0.0341708384959661
random_11,100,3,-0.0346772018748796
random_11,100,4,-0.0331123732047207
random_11,100,5,-0.0293257242062785
random_11,200,1,0.026048775640296
random_11,200,2,0.0132707602185495
random_11,200,3,-0.0091302344494206
random_11,200,4,-0.0052391090041
random_11,200,5,-0.0061500897153403
random_11,300,1,-0.0198929549492408
random_11,300,2,-0.0069235887899936
random_11,300,3,-0.0052066769811447
random_11,300,4,-0.0051021265926093
random_11,300,5,-0.0039506068511952
random_11,400,1,-0.0370386998299729
random_11,400,2,-0.0325899372352012
random_11,400,3,0.002469926284474
random_11,400,4,-0.009552781843005
random_11,400,5,0.0043430860086185
random_11,500,1,-0.0022107674772636
random_11,500,2,-0.0016604590104626
random_11,500,3,-0.0031349134481583
random_11,500,4,-0.0015381106461717
random_11,500,5,-0.0037770781391461
random_11,600,1,7.66788400411907e-05
random_11,600,2,-0.0039939227649204
random_11,600,3,-0.0039556842479593
random_11,600,4,-0.0086100430114019
random_11,600,5,-0.0099910138659322
random_12,0,1,-0.0254208754208754
random_12,0,2,-0.0289864456531123
random_12,0,3,-0.0125701459034792
random_12,0,4,-0.0073403410801784
random_12,0,5,-0.0025427315044801
random_12,100,1,-0.0388292159784257
random_12,100,2,-0.0347289121462398
random_12,100,3,-0.0367198511103951
random_12,100,4,-0.0180603873146906
random_12,100,5,-0.0223176762697411
random_12,200,1,-0.0419741913835098
random_12,200,2,-0.0328805711574815
random_12,200,3,-0.0328327034082881
random_12,200,4,-0.0261422833666709
random_12,200,5,-0.022871932710406
random_12,300,1,0.0449970111447486
random_12,300,2,0.0524484146604549
random_12,300,3,0.0556448968817867
random_12,300,4,0.0529812046568874
random_12,300,5,0.0382131592373285
random_12,400,1,0.0069614584408763
random_12,400,2,-0.0018954154779426
random_12,400,3,-0.004151227351085
random_12,400,4,-0.0117788865665048
random_12,400,5,-0.0117713488727851
random_12,500,1,-0.0095468391650142
random_12,500,2,0.0014598036726479
random_12,500,3,-0.006555304896973
