filename,sample_time,r,sample_id,mser
random_1,0,1,0,-0.05
random_1,0,1,1,-0.0381481481481481
random_1,0,1,2,-0.05
random_1,0,1,3,-0.0381481481481481
random_1,0,1,4,-0.0132323232323232
random_1,0,1,5,-0.0176767676767676
random_1,0,1,6,-0.0132323232323232
random_1,0,1,7,-0.0176767676767676
random_1,0,1,8,-0.05
random_1,0,1,9,-0.0381481481481481
random_1,0,1,10,-0.05
random_1,0,1,11,-0.0381481481481481
random_1,0,1,12,-0.0132323232323232
random_1,0,1,13,-0.0176767676767676
random_1,0,1,14,-0.0132323232323232
random_1,0,1,15,-0.0176767676767676
random_1,0,2,0,-0.0294871794871794
random_1,0,2,1,-0.042022792022792
random_1,0,2,2,-0.0294871794871794
random_1,0,2,3,-0.042022792022792
random_1,0,2,4,-0.0313001813001813
random_1,0,2,5,-0.0278813778813778
random_1,0,2,6,-0.0313001813001813
random_1,0,2,7,-0.0278813778813778
random_1,0,2,8,-0.0294871794871794
random_1,0,2,9,-0.042022792022792
random_1,0,2,10,-0.0294871794871794
random_1,0,2,11,-0.042022792022792
random_1,0,2,12,-0.0313001813001813
random_1,0,2,13,-0.0278813778813778
random_1,0,2,14,-0.0313001813001813
random_1,0,2,15,-0.0278813778813778
random_1,0,3,0,-0.0221481481481481
random_1,0,3,1,-0.0299057239057239
random_1,0,3,2,-0.0221481481481481
random_1,0,3,3,-0.0299057239057239
random_1,0,3,4,-0.0239797979797979
random_1,0,3,5,0.0029831649831649
random_1,0,3,6,-0.0239797979797979
random_1,0,3,7,0.0029831649831649
random_1,0,3,8,-0.0221481481481481
random_1,0,3,9,-0.0299057239057239
random_1,0,3,10,-0.0221481481481481
random_1,0,3,11,-0.0299057239057239
random_1,0,3,12,-0.0239797979797979
random_1,0,3,13,0.0029831649831649
random_1,0,3,14,-0.0239797979797979
random_1,0,3,15,0.0029831649831649
random_1,0,4,0,-0.0241972571240863
random_1,0,4,1,-0.0326886753716022
random_1,0,4,2,-0.0241972571240863
random_1,0,4,3,-0.0326886753716022
random_1,0,4,4,0.0222016917138868
random_1,0,4,5,-0.0014330294818099
random_1,0,4,6,0.0222016917138868
random_1,0,4,7,-0.0014330294818099
random_1,0,4,8,-0.0241972571240863
random_1,0,4,9,-0.0326886753716022
random_1,0,4,10,-0.0241972571240863
random_1,0,4,11,-0.0326886753716022
random_1,0,4,12,0.0222016917138868
random_1,0,4,13,-0.0014330294818099
random_1,0,4,14,0.0222016917138868
random_1,0,4,15,-0.0014330294818099
random_1,0,5,0,-0.0227217530496219
random_1,0,5,1,-0.0289148313738477
random_1,0,5,2,-0.0227217530496219
random_1,0,5,3,-0.0289148313738477
random_1,0,5,4,0.0072280178837555
random_1,0,5,5,0.005572114588508
random_1,0,5,6,0.0072280178837555
random_1,0,5,7,0.005572114588508
random_1,0,5,8,-0.0227217530496219
random_1,0,5,9,-0.0289148313738477
random_1,0,5,10,-0.0227217530496219
random_1,0,5,11,-0.0289148313738477
random_1,0,5,12,0.0072280178837555
random_1,0,5,13,0.005572114588508
random_1,0,5,14,0.0072280178837555
random_1,0,5,15,0.005572114588508
random_1,100,1,0,-0.0435015616559645
random_1,100,1,1,-0.0262596012184782
random_1,100,1,2,0.1904074712073681
random_1,100,1,3,-0.0240062466238582
random_1,100,1,4,-0.0220145174690629
random_1,100,1,5,-0.029508820390496
random_1,100,1,6,-0.05
random_1,100,1,7,-0.0230103820464605
random_1,100,1,8,-0.0305046849678936
random_1,100,1,9,-0.0435015616559645
random_1,100,1,10,-0.0197611628744428
random_1,100,1,11,-0.05
random_1,100,1,12,-0.05
random_1,100,1,13,-0.05
random_1,100,1,14,0.1267106679906795
random_1,100,1,15,-0.0370031233119291
random_1,100,2,0,-0.0450012012738188
random_1,100,2,1,-0.0246229815316337
random_1,100,2,2,0.0789881024359442
random_1,100,2,3,0.0156382347897879
random_1,100,2,4,-0.0354872538280806
random_1,100,2,5,-0.0048290369652361
random_1,100,2,6,-0.05
random_1,100,2,7,-0.027989055738809
random_1,100,2,8,-0.0362533035030019
random_1,100,2,9,0.019215341216422
random_1,100,2,10,-0.0304884551018995
random_1,100,2,11,-0.0205024308058617
random_1,100,2,12,-0.05
random_1,100,2,13,-0.05
random_1,100,2,14,0.0179656415348767
random_1,100,2,15,-0.0138709075606747
random_1,100,3,0,-0.016723152700482
random_1,100,3,1,-0.0247084155462267
random_1,100,3,2,0.0380096457538303
random_1,100,3,3,-0.0080699918964677
random_1,100,3,4,0.0731650816728869
random_1,100,3,5,-0.0245615677187121
random_1,100,3,6,-0.0472014517469062
random_1,100,3,7,-0.0275592888872853
random_1,100,3,8,-0.0389526548151397
random_1,100,3,9,-0.0127083348986534
random_1,100,3,10,-0.0372546213153735
