filename,sample_time,r,sample_id,mser
random_1,0,1,0,-0.05
random_1,0,1,1,-0.0381481481481481
random_1,0,1,2,-0.05
random_1,0,1,3,-0.0381481481481481
random_1,0,1,4,-0.05
random_1,0,1,5,-0.0366666666666666
random_1,0,1,6,0.0255555555555555
random_1,0,1,7,-0.0058249158249158
random_1,0,1,8,-0.0132323232323232
random_1,0,1,9,-0.0176767676767676
random_1,0,1,10,-0.0132323232323232
random_1,0,1,11,-0.0176767676767676
random_1,0,2,0,-0.0294871794871794
random_1,0,2,1,-0.042022792022792
random_1,0,2,2,-0.0294871794871794
random_1,0,2,3,-0.042022792022792
random_1,0,2,4,-0.05
random_1,0,2,5,-0.0103211603211603
random_1,0,2,6,0.0068764568764568
random_1,0,2,7,-0.033009583009583
random_1,0,2,8,-0.0313001813001813
random_1,0,2,9,-0.0278813778813778
random_1,0,2,10,-0.0313001813001813
random_1,0,2,11,-0.0278813778813778
random_1,0,3,0,-0.0221481481481481
random_1,0,3,1,-0.0299057239057239
random_1,0,3,2,-0.0221481481481481
random_1,0,3,3,-0.0299057239057239
random_1,0,3,4,-0.0099730639730639
random_1,0,3,5,0.0405050505050505
random_1,0,3,6,-0.0074410774410774
random_1,0,3,7,-0.0278316498316498
random_1,0,3,8,-0.0239797979797979
random_1,0,3,9,0.0029831649831649
random_1,0,3,10,-0.0239797979797979
random_1,0,3,11,0.0029831649831649
random_1,0,4,0,-0.0241972571240863
random_1,0,4,1,-0.0326886753716022
random_1,0,4,2,-0.0241972571240863
random_1,0,4,3,-0.0326886753716022
random_1,0,4,4,-0.0156565656565656
random_1,0,4,5,0.0138252443130491
random_1,0,4,6,0.0120185595795351
random_1,0,4,7,-0.026036790670937
random_1,0,4,8,0.0222016917138868
random_1,0,4,9,-0.0014330294818099
random_1,0,4,10,0.0222016917138868
random_1,0,4,11,-0.0014330294818099
random_1,0,5,0,-0.0227217530496219
random_1,0,5,1,-0.0289148313738477
random_1,0,5,2,-0.0227217530496219
random_1,0,5,3,-0.0289148313738477
random_1,0,5,4,-0.0123447590660705
random_1,0,5,5,0.0545206159960258
random_1,0,5,6,0.0248357895898879
random_1,0,5,7,-0.0198515206711928
random_1,0,5,8,0.0072280178837555
random_1,0,5,9,0.005572114588508
random_1,0,5,10,0.0072280178837555
random_1,0,5,11,0.005572114588508
random_1,100,1,0,-0.0435015616559645
random_1,100,1,1,-0.0262596012184782
random_1,100,1,2,0.1904074712073681
random_1,100,1,3,-0.0240062466238582
random_1,100,1,4,-0.05
random_1,100,1,5,-0.0467507808279822
random_1,100,1,6,-0.05
random_1,100,1,7,0.2992687186203885
random_1,100,1,8,-0.05
random_1,100,1,9,-0.05
random_1,100,1,10,0.1267106679906795
random_1,100,1,11,-0.0370031233119291
random_1,100,2,0,-0.0450012012738188
random_1,100,2,1,-0.0246229815316337
random_1,100,2,2,0.0789881024359442
random_1,100,2,3,0.0156382347897879
random_1,100,2,4,-0.05
random_1,100,2,5,-0.0109884833601235
random_1,100,2,6,-0.05
random_1,100,2,7,0.0843341225463032
random_1,100,2,8,-0.05
random_1,100,2,9,-0.05
random_1,100,2,10,0.0179656415348767
random_1,100,2,11,-0.0138709075606747
random_1,100,3,0,-0.016723152700482
random_1,100,3,1,-0.0247084155462267
random_1,100,3,2,0.0380096457538303
random_1,100,3,3,-0.0080699918964677
random_1,100,3,4,-0.0353111078534516
random_1,100,3,5,-0.0264647921752465
random_1,100,3,6,-0.05
random_1,100,3,7,0.0233021358115749
random_1,100,3,8,-0.0465516079125027
random_1,100,3,9,-0.05
random_1,100,3,10,-0.0118593181487703
random_1,100,3,11,-0.0260141212563224
random_1,100,4,0,-0.0145660104920252
random_1,100,4,1,-0.0177249718038315
random_1,100,4,2,0.0299375489492949
random_1,100,4,3,-0.0032245524215697
random_1,100,4,4,-0.0114505748128378
random_1,100,4,5,-0.0323578466978894
random_1,100,4,6,-0.05
random_1,100,4,7,0.01876438924617
random_1,100,4,8,-0.0475010756573775
random_1,100,4,9,-0.05
random_1,100,4,10,0.0029707438579919
random_1,100,4,11,-0.0274814449123271
random_1,100,5,0,-0.0200795795506577
random_1,100,5,1,-0.0173272576722228
random_1,100,5,2,0.0489057977181156
random_1,100,5,3,-0.0044906602316414
random_1,100,5,4,-0.0235570717312487
random_1,100,5,5,-0.0255694248453421
random_1,100,5,6,-0.05
random_1,100,5,7,0.0112358277174843
random_1,100,5,8,-0.048320395113975
random_1,100,5,9,-0.05
random_1,100,5,10,-0.0143967131446283
random_1,100,5,11,-0.0176224310518272
random_1,200,1,0,-0.0285036165985667
random_1,200,1,1,-0.05
random_1,200,1,2,-0.0365647603741042
random_1,200,1,3,-0.033877712448925
random_1,200,1,4,-0.05
