filename,r,mser
random_1,1,-0.0112566191608095
random_1,2,-0.0192113892488008
random_1,3,-0.0137108991898264
random_1,4,-0.013745297304936
random_1,5,-0.0115758362572962
random_2,1,-0.0069102997430803
random_2,2,-0.0107449635361672
random_2,3,-0.0044142010878669
random_2,4,-0.0029009493865613
random_2,5,-0.0059182433912835
random_3,1,-0.0276296010853823
random_3,2,-0.0163249506458484
random_3,3,-0.0122861275498132
random_3,4,-0.0097069944142902
random_3,5,-0.0098657266987994
random_4,1,-0.0290793457806053
random_4,2,-0.0232648163216566
random_4,3,-0.0185341189594181
random_4,4,-0.0158957048156274
random_4,5,-0.0154840264489508
random_5,1,-0.0119556962005786
random_5,2,-0.0063685090744795
random_5,3,-0.0032227701718514
random_5,4,-0.0003259068763777
random_5,5,0.0016760402776207
random_6,1,-0.0224901825934417
random_6,2,-0.0185808339805424
random_6,3,-0.0138829566208218
random_6,4,-0.0105887460075128
random_6,5,-0.0088492076686195
random_7,1,-0.0204009636304634
random_7,2,-0.017156609856317
random_7,3,-0.0120739471806114
random_7,4,-0.0061987737330223
random_7,5,-0.0092971095625417
random_8,1,-0.0083360770466674
random_8,2,-0.0126993347794674
random_8,3,-0.0045361147304798
random_8,4,-0.0029971935166543
random_8,5,-0.000403413090792
random_9,1,-0.0232127389481266
random_9,2,-0.0246507227635967
random_9,3,-0.0148601974702832
random_9,4,-0.0134010091871013
random_9,5,-0.0114842297898679
random_10,1,-0.0023748964509158
random_10,2,-0.0035810720551188
random_10,3,-0.0079104953388114
random_10,4,-0.0026692654233015
random_10,5,-0.0026155259733341
random_11,1,-0.0066115187714512
random_11,2,-0.0070673068477459
random_11,3,-0.0074758412483948
random_11,4,-0.0069295813686112
random_11,5,-0.0077177306941923
random_12,1,-0.0155554904011367
random_12,2,-0.0137597192694255
random_12,3,-0.0100796568852547
random_12,4,-0.0083680715660784
random_12,5,-0.009607713870384
random_13,1,-0.0153783603983611
random_13,2,-0.0210472020088114
random_13,3,-0.0177167273490179
random_13,4,-0.0188231376428095
random_13,5,-0.0164207509392705
random_14,1,-0.0105274413692345
random_14,2,-0.0070515459578077
random_14,3,-0.0023716697781857
random_14,4,-0.0029508719229864
random_14,5,-0.0013502176100649
random_15,1,-0.0051024797655507
random_15,2,-0.0096567932317782
random_15,3,-0.0065199297813373
random_15,4,-0.0059076970752637
random_15,5,-0.0052030791774499
random_16,1,-0.016405320752589
random_16,2,-0.0075466910040674
random_16,3,-0.0104147227996314
random_16,4,-0.0083364171903537
random_16,5,-0.0095017542775479
random_17,1,-0.022958051997116
random_17,2,-0.019339893951566
random_17,3,-0.0140533912513438
random_17,4,-0.0140264166154687
random_17,5,-0.0139180628038382
random_18,1,-0.0014911355627852
random_18,2,-0.0131404245052573
random_18,3,-0.0080015275362296
random_18,4,-0.0111400985535701
random_18,5,-0.0111228454288255
random_19,1,-0.023599523663378
random_19,2,-0.0223961911168548
random_19,3,-0.018571260537657
random_19,4,-0.0162934639492861
random_19,5,-0.0152485685760819
random_20,1,-0.0163932411916305
