filename,r,mser
random_1,1,-0.0050242473628791
random_1,2,-0.0148540770754707
random_1,3,-0.0115660383462081
random_1,4,-0.0095057296245958
random_1,5,-0.0048373915664964
random_2,1,-0.0225238131101594
random_2,2,-0.0190866262464724
random_2,3,-0.0114484578371514
random_2,4,-0.0086691999444711
random_2,5,-0.0088822800159117
random_3,1,-0.0174926407688495
random_3,2,0.0014990626790683
random_3,3,0.0050424991141813
random_3,4,0.0058598780950241
random_3,5,0.0033934743535283
random_4,1,-0.0237540977783616
random_4,2,-0.0283307349260068
random_4,3,-0.0201315265184516
random_4,4,-0.0195577295879451
random_4,5,-0.015567874499431
random_5,1,-0.018919422292108
random_5,2,-0.0160498008569551
random_5,3,-0.0087986882601995
random_5,4,-0.0061954059755174
random_5,5,-0.002687786798517
random_6,1,-0.0175981916419582
random_6,2,-0.0164432052044645
random_6,3,-0.0106458043027448
random_6,4,-0.0088889322357967
random_6,5,-0.0035692918997061
random_7,1,-0.0216671878440934
random_7,2,-0.0257614560665471
random_7,3,-0.0181830243138627
random_7,4,-0.0127908551644146
random_7,5,-0.0124178068614389
random_8,1,-0.027055840450463
random_8,2,-0.0243449594493577
random_8,3,-0.016618240848067
random_8,4,-0.0141932413014217
random_8,5,-0.0108712234850197
random_9,1,-0.0256583725238034
random_9,2,-0.0281189421438837
random_9,3,-0.0166303021711515
random_9,4,-0.0145946178909314
random_9,5,-0.0104593871078838
random_10,1,-0.0019666165395912
random_10,2,-0.0100199031979249
random_10,3,-0.0132863836147424
random_10,4,-0.0113918014150382
random_10,5,-0.0088010810134926
random_11,1,-0.0214069599010677
random_11,2,-0.0192158227395297
random_11,3,-0.0176138578291865
random_11,4,-0.0160505373318266
random_11,5,-0.0146174163847766
random_12,1,-0.0167313777748116
random_12,2,-0.011376208674575
random_12,3,-0.0070999720693356
random_12,4,-0.0061010370491823
random_12,5,-0.0046949908334789
random_13,1,-0.0156208142376855
random_13,2,-0.0184586842907427
random_13,3,-0.0141656365840622
random_13,4,-0.0162272435987689
random_13,5,-0.0135951366448969
random_14,1,-0.0120502211816458
random_14,2,-0.0072515903901615
random_14,3,-0.0024443716088553
random_14,4,-0.0028822430677954
random_14,5,0.0021320832224876
random_15,1,0.0006852924486768
random_15,2,-0.0053059803020087
random_15,3,-0.0014842869720498
random_15,4,-0.0009280733754774
random_15,5,0.0013005840756931
random_16,1,-0.01060089008667
random_16,2,0.001372466116816
random_16,3,-0.0069394200417908
random_16,4,-0.0042360171416016
random_16,5,-0.0055155552237504
random_17,1,-0.0250028709258464
random_17,2,-0.0266649678467604
random_17,3,-0.0195879817639436
random_17,4,-0.0191635928865647
random_17,5,-0.0174190276791963
random_18,1,0.0030991586654127
random_18,2,-0.0069570500045527
random_18,3,-0.0077097006090367
random_18,4,-0.008481390176046
random_18,5,-0.0073036505465352
random_19,1,-0.0174239726257035
random_19,2,-0.0246022349697842
random_19,3,-0.0192093986135243
random_19,4,-0.0150218387370644
random_19,5,-0.012511385949242
random_20,1,-0.0247687951895614
