filename,sample_time,r,type_id,mae,mdae
random_1,0,1,0,0.5434622222222223,0.42252999999999996
random_1,0,2,0,0.6442311111111111,0.62995
random_1,0,3,0,0.6434388888888889,0.70887
random_1,0,4,0,0.6170077777777778,0.64642
random_1,0,5,0,0.5663733333333333,0.6237600000000001
random_1,0,1,1,0.5442444444444444,0.51618
random_1,0,2,1,0.6491544444444445,0.61659
random_1,0,3,1,0.6261322222222222,0.6571899999999999
random_1,0,4,1,0.6080355555555554,0.65606
random_1,0,5,1,0.5504322222222222,0.6117699999999999
random_1,0,1,2,0.5391100000000001,0.35251
random_1,0,2,2,0.5849366666666667,0.66501
random_1,0,3,2,0.6385811111111112,0.68362
random_1,0,4,2,0.6187444444444444,0.71546
random_1,0,5,2,0.5808099999999999,0.6748999999999999
random_1,0,1,3,0.46560444444444443,0.13029000000000002
random_1,0,2,3,0.47101,0.42688000000000004
random_1,0,3,3,0.56518,0.61619
random_1,0,4,3,0.6087455555555555,0.69249
random_1,0,5,3,0.555128888888889,0.65096
random_1,0,1,4,0.5730244444444446,0.51618
random_1,0,2,4,0.5551855555555556,0.5767800000000001
random_1,0,3,4,0.5839455555555555,0.5989599999999999
random_1,0,4,4,0.5882044444444444,0.71546
random_1,0,5,4,0.5751988888888888,0.67214
random_1,0,1,5,0.8244555555555556,0.89896
random_1,0,2,5,0.5518188888888889,0.57671
random_1,0,3,5,0.60276,0.62175
random_1,0,4,5,0.5980466666666666,0.71763
random_1,0,5,5,0.5464466666666666,0.6715599999999999
random_1,0,1,6,0.8709922222222222,0.97909
random_1,0,2,6,0.8709922222222222,0.97909
random_1,0,3,6,0.4733577777777777,0.48055000000000003
random_1,0,4,6,0.42670666666666673,0.59389
random_1,0,5,6,0.3261211111111111,0.42308
random_1,0,1,7,0.88303,0.99303
random_1,0,2,7,0.88303,0.99303
random_1,0,3,7,0.88303,0.99303
random_1,0,4,7,0.3849366666666667,0.5039100000000001
random_1,0,5,7,0.3968655555555556,0.47077
random_1,0,1,8,0.8728455555555557,0.97966
random_1,0,2,8,0.8728455555555557,0.97966
random_1,0,3,8,0.5226166666666666,0.55262
random_1,0,4,8,0.3896233333333333,0.49025
random_1,0,5,8,0.42507222222222224,0.60124
random_1,100,1,0,0.71115,0.73261
random_1,100,2,0,0.711558888888889,0.6973900000000001
random_1,100,3,0,0.7226277777777779,0.7428
random_1,100,4,0,0.694248888888889,0.71197
random_1,100,5,0,0.60896,0.6125900000000001
random_1,100,1,1,0.8447388888888889,0.97507
random_1,100,2,1,0.8447388888888889,0.97507
random_1,100,3,1,0.8447388888888889,0.97507
random_1,100,4,1,0.8447388888888889,0.97507
random_1,100,5,1,0.8447388888888889,0.97507
random_1,100,1,2,0.6892600000000001,0.76847
random_1,100,2,2,0.6451911111111112,0.6655900000000001
random_1,100,3,2,0.6706822222222223,0.7209700000000001
random_1,100,4,2,0.6538322222222221,0.66089
random_1,100,5,2,0.5718433333333333,0.4603100000000001
random_1,100,1,3,0.6686311111111111,0.76847
random_1,100,2,3,0.7112211111111111,0.69485
random_1,100,3,3,0.7171288888888889,0.7209700000000001
random_1,100,4,3,0.7048133333333333,0.72988
random_1,100,5,3,0.641328888888889,0.63522
random_1,100,1,4,0.8593833333333333,0.98689
random_1,100,2,4,0.8593833333333333,0.98689
random_1,100,3,4,0.8593833333333333,0.98689
random_1,100,4,4,0.8593833333333333,0.98689
random_1,100,5,4,0.8593833333333333,0.98689
random_1,100,1,5,0.5929511111111111,0.5312000000000001
random_1,100,2,5,0.6945544444444445,0.6973900000000001
random_1,100,3,5,0.73348,0.7428
random_1,100,4,5,0.7128911111111111,0.72988
random_1,100,5,5,0.6271177777777779,0.63522
random_1,100,1,6,0.8591177777777779,0.99185
random_1,100,2,6,0.8591177777777779,0.99185
random_1,100,3,6,0.8591177777777779,0.99185
random_1,100,4,6,0.8591177777777779,0.99185
random_1,100,5,6,0.8591177777777779,0.99185
random_1,100,1,7,0.6084022222222223,0.73261
random_1,100,2,7,0.6115355555555556,0.60761
random_1,100,3,7,0.6220288888888889,0.5770500000000001
random_1,100,4,7,0.586131111111111,0.44206
random_1,100,5,7,0.49526222222222216,0.24949999999999994
random_1,100,1,8,0.8656477777777778,0.9974
random_1,100,2,8,0.8656477777777778,0.9974
random_1,100,3,8,0.8656477777777778,0.9974
random_1,100,4,8,0.8656477777777778,0.9974
random_1,100,5,8,0.8656477777777778,0.9974
random_1,200,1,0,0.6781522222222223,0.99102
random_1,200,2,0,0.7365388888888889,0.99102
random_1,200,3,0,0.6832633333333332,0.99102
random_1,200,4,0,0.7085922222222222,0.99102
random_1,200,5,0,0.73902,0.78534
random_1,200,1,1,0.8457977777777778,0.97992
random_1,200,2,1,0.8457977777777778,0.97992
random_1,200,3,1,0.8457977777777778,0.97992
random_1,200,4,1,0.5720433333333333,0.86015
random_1,200,5,1,0.5190133333333332,0.67513
random_1,200,1,2,0.8806377777777779,0.98625
random_1,200,2,2,0.8806377777777779,0.98625
random_1,200,3,2,0.8806377777777779,0.98625
random_1,200,4,2,0.8806377777777779,0.98625
random_1,200,5,2,0.5642366666666666,0.72987
random_1,200,1,3,0.6722266666666666,0.98625
random_1,200,2,3,0.7057877777777777,0.98625
random_1,200,3,3,0.6796811111111112,0.98625
random_1,200,4,3,0.6445833333333334,0.98323
random_1,200,5,3,0.7221422222222222,0.76403
random_1,200,1,4,0.8409977777777778,0.94764
random_1,200,2,4,0.8409977777777778,0.94764
random_1,200,3,4,0.8409977777777778,0.94764
random_1,200,4,4,0.8409977777777778,0.94764
random_1,200,5,4,0.8409977777777778,0.94764
random_1,200,1,5,0.6649277777777779,0.9853
random_1,200,2,5,0.7121755555555556,0.9853
random_1,200,3,5,0.6850066666666668,0.9853
