filename,r,sample_time,mae_sh,mae_si,mdae_sh,mdae_si
random_1,1,0,0.003882274435635713,0.07441608996539795,0.003882274435635713,0.07441608996539795
random_1,2,0,0.14274594797523932,0.016666666666666607,0.14274594797523932,0.016666666666666607
random_1,3,0,0.07775481946054552,0.019667159763313458,0.07775481946054552,0.019667159763313458
random_1,4,0,0.06993552837920625,0.02214212956327677,0.06993552837920625,0.02214212956327677
random_1,5,0,0.041602331283159266,0.013455944129384556,0.041602331283159266,0.013455944129384556
random_1,1,100,0.25349946645183996,0.15240352022692216,0.25349946645183996,0.15240352022692216
random_1,2,100,0.33174373403027635,0.1664885636775167,0.33174373403027635,0.1664885636775167
random_1,3,100,0.40529362946658465,0.20346968265572019,0.40529362946658465,0.20346968265572019
random_1,4,100,0.33661121547189543,0.15327986843471386,0.33661121547189543,0.15327986843471386
random_1,5,100,0.34071889894777974,0.15384621132254145,0.34071889894777974,0.15384621132254145
random_1,1,200,0.6202359194745571,0.3569779663975795,0.6202359194745571,0.3569779663975795
random_1,2,200,0.681123561658155,0.4002685400630893,0.681123561658155,0.4002685400630893
random_1,3,200,0.6835130783963406,0.3979588865468988,0.6835130783963406,0.3979588865468988
random_1,4,200,0.7264268506769685,0.4308317084057738,0.7264268506769685,0.4308317084057738
random_1,5,200,0.6507491833817967,0.4021008651858151,0.6507491833817967,0.4021008651858151
random_1,1,300,0.33959050572304905,0.12826131020707665,0.33959050572304905,0.12826131020707665
random_1,2,300,0.13853007723652255,0.04092783746947792,0.13853007723652255,0.04092783746947792
random_1,3,300,0.0875573503361946,0.040210150408473755,0.0875573503361946,0.040210150408473755
random_1,4,300,0.07044111876820702,0.029397299435394153,0.07044111876820702,0.029397299435394153
random_1,5,300,0.11286861034394358,0.03959040419915416,0.11286861034394358,0.03959040419915416
random_1,1,400,0.3392065670834178,0.030717275307555525,0.3392065670834178,0.030717275307555525
random_1,2,400,0.04151836119951391,0.13516171975199986,0.04151836119951391,0.13516171975199986
random_1,3,400,0.10910784254999872,0.1609213569402086,0.10910784254999872,0.1609213569402086
random_1,4,400,0.20760738909691634,0.20846985782204275,0.20760738909691634,0.20846985782204275
random_1,5,400,0.2838643499024702,0.21969234455963305,0.2838643499024702,0.21969234455963305
random_1,1,500,0.022848446935554767,0.016509825809822187,0.022848446935554767,0.016509825809822187
random_1,2,500,0.10656989173081977,0.0600873368388567,0.10656989173081977,0.0600873368388567
random_1,3,500,0.18184859831905786,0.10838848186619032,0.18184859831905786,0.10838848186619032
random_1,4,500,0.19970637834610783,0.11596541646333924,0.19970637834610783,0.11596541646333924
random_1,5,500,0.15215516709871857,0.08640272791349513,0.15215516709871857,0.08640272791349513
random_1,1,600,0.2486054545477231,0.06184912792772734,0.2486054545477231,0.06184912792772734
random_1,2,600,0.0912844635501533,0.017122809951677365,0.0912844635501533,0.017122809951677365
random_1,3,600,0.1300292051099715,0.04314335022274818,0.1300292051099715,0.04314335022274818
random_1,4,600,0.18172241272524092,0.06569731929650324,0.18172241272524092,0.06569731929650324
random_1,5,600,0.12547235407349167,0.053749961746639596,0.12547235407349167,0.053749961746639596
random_2,1,0,0.003882274435635713,0.07441608996539795,0.003882274435635713,0.07441608996539795
random_2,2,0,0.14274594797523932,0.016666666666666607,0.14274594797523932,0.016666666666666607
random_2,3,0,0.07775481946054552,0.019667159763313458,0.07775481946054552,0.019667159763313458
random_2,4,0,0.06993552837920625,0.02214212956327677,0.06993552837920625,0.02214212956327677
random_2,5,0,0.041602331283159266,0.013455944129384556,0.041602331283159266,0.013455944129384556
random_2,1,100,0.4885414618511519,0.15020874205867008,0.4885414618511519,0.15020874205867008
random_2,2,100,0.30489398643143606,0.0951397781986163,0.30489398643143606,0.0951397781986163
random_2,3,100,0.32117793394747396,0.1278389287954942,0.32117793394747396,0.1278389287954942
random_2,4,100,0.3346542001566256,0.16836009594003798,0.3346542001566256,0.16836009594003798
random_2,5,100,0.39116138840252823,0.20406788852915309,0.39116138840252823,0.20406788852915309
random_2,1,200,0.9930969076516918,0.5597378071795545,0.9930969076516918,0.5597378071795545
random_2,2,200,0.4634534051113395,0.28133780717955437,0.4634534051113395,0.28133780717955437
random_2,3,200,0.3951593096584768,0.26068905569322876,0.3951593096584768,0.26068905569322876
random_2,4,200,0.20104872370253424,0.20475853201747557,0.20104872370253424,0.20475853201747557
random_2,5,200,0.23688891074333895,0.22741926848383265,0.23688891074333895,0.22741926848383265
random_2,1,300,0.27159533525080626,0.14342049678037144,0.27159533525080626,0.14342049678037144
random_2,2,300,0.36208302430954364,0.20525165016919422,0.36208302430954364,0.20525165016919422
random_2,3,300,0.35580898731940414,0.2032880818615299,0.35580898731940414,0.2032880818615299
