filename,init_locs,seed,0,1,2,3,4,5,6,7,8
random_1,R1,0,2.1559,0.55735,2.06575,0.29575,0.37055,0.11375,0.01795,0.0102,0.0
random_2,R1,1,0.70075,0.8292,0.07635,0.1719,0.52125,0.0735,0.04485,0.01235,0.04105
random_3,R1,2,3.2332,1.2184,0.81315,0.37385,0.2739,0.09235,0.0323,0.0056,0.0189
random_4,R1,3,0.9471,2.34185,0.10895,0.2508,0.23205,0.0787,0.03215,0.00945,0.03065
random_5,R1,4,2.85485,2.4837,0.0608,0.67885,0.16105,0.0955,0.02865,0.0173,0.01715
random_6,R1,5,1.79805,1.3957,1.1487,0.24435,0.17355,0.08175,0.0038,0.0074,0.01095
clustered_1,C1,0,2.0506,6.0533,0.1888,0.1823,0.87825,0.17705,0.13195,0.0239,0.10945
clustered_2,C1,1,2.2638,7.77665,0.15185,0.2671,0.47035,0.18405,0.1026,0.01885,0.0619
clustered_3,C1,2,2.04795,7.6879,0.1742,0.22625,0.38075,0.17075,0.09945,0.0199,0.05725
clustered_4,C1,3,1.8105,5.56555,0.1935,0.2427,0.7191,0.18845,0.1037,0.0257,0.1054
clustered_5,C1,4,5.05165,0.33515,0.5772,0.35715,0.00455,0.343,0.05825,0.0176,0.0241
clustered_6,C1,5,4.05765,0.7979,0.2709,0.2421,0.239,0.2008,0.1796,0.0224,0.0427
