filename,r,type_id,0,1,2,3,4,5,6,7,8
random_1,1,0,0.0,0.11051,0.06986,0.07837,0.10138,0.12394,0.16034,0.16319,0.0
random_1,1,1,0.11051,0.0,0.15018,0.15068,0.22261,0.25,0.08696,0.33333,0.0
random_1,1,2,0.06986,0.15018,0.0,0.09333,0.13765,0.08578,0.21692,0.15385,0.0
random_1,1,3,0.07837,0.15068,0.09333,0.0,0.12571,0.20222,0.2,0.2,0.0
random_1,1,4,0.10138,0.22261,0.13765,0.12571,0.0,0.25,0.4,0.33333,0.0
random_1,1,5,0.12394,0.25,0.08578,0.20222,0.25,0.0,0.5,0.5,0.0
random_1,1,6,0.16034,0.08696,0.21692,0.2,0.4,0.5,0.0,1.0,0.0
random_1,1,7,0.16319,0.33333,0.15385,0.2,0.33333,0.5,1.0,0.0,0.0
random_1,1,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random_1,2,0,0.0,0.08673,0.07204,0.07053,0.09942,0.04798,0.16324,0.16476,0.0
random_1,2,1,0.08673,0.0,0.10311,0.09017,0.0704,0.11137,0.05471,0.14286,0.0
random_1,2,2,0.07204,0.10311,0.0,0.06755,0.11142,0.05601,0.19474,0.13333,0.0
random_1,2,3,0.07053,0.09017,0.06755,0.0,0.10022,0.0775,0.15385,0.15385,0.0
random_1,2,4,0.09942,0.0704,0.11142,0.10022,0.0,0.13411,0.22222,0.33333,0.0
random_1,2,5,0.04798,0.11137,0.05601,0.0775,0.13411,0.0,0.23438,0.23438,0.0
random_1,2,6,0.16324,0.05471,0.19474,0.15385,0.22222,0.23438,0.0,1.0,0.0
random_1,2,7,0.16476,0.14286,0.13333,0.15385,0.33333,0.23438,1.0,0.0,0.0
random_1,2,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random_1,3,0,0.0,0.11786,0.10171,0.08155,0.1564,0.06016,0.23918,0.21385,0.14414
random_1,3,1,0.11786,0.0,0.14526,0.14563,0.0746,0.10326,0.09796,0.24143,0.22222
random_1,3,2,0.10171,0.14526,0.0,0.08117,0.18214,0.09319,0.2774,0.21938,0.15925
random_1,3,3,0.08155,0.14563,0.08117,0.0,0.16413,0.09396,0.27826,0.24218,0.1358
random_1,3,4,0.1564,0.0746,0.18214,0.16413,0.0,0.15742,0.26786,0.42857,0.26571
random_1,3,5,0.06016,0.10326,0.09319,0.09396,0.15742,0.0,0.23798,0.21041,0.15577
random_1,3,6,0.23918,0.09796,0.2774,0.27826,0.26786,0.23798,0.0,1.0,0.6
random_1,3,7,0.21385,0.24143,0.21938,0.24218,0.42857,0.21041,1.0,0.0,0.42857
random_1,3,8,0.14414,0.22222,0.15925,0.1358,0.26571,0.15577,0.6,0.42857,0.0
random_1,4,0,0.0,0.23417,0.21635,0.13628,0.19641,0.10667,0.46246,0.34298,0.30675
random_1,4,1,0.23417,0.0,0.28324,0.2686,0.11227,0.22289,0.18088,0.4076,0.38193
random_1,4,2,0.21635,0.28324,0.0,0.18326,0.28809,0.20053,0.4444,0.29003,0.31676
random_1,4,3,0.13628,0.2686,0.18326,0.0,0.23967,0.14866,0.48871,0.34089,0.30045
random_1,4,4,0.19641,0.11227,0.28809,0.23967,0.0,0.17361,0.32939,0.47776,0.41229
