filename,r,sample_time,shannon,simpson
clustered_1,1,0,1.06086,0.64198
clustered_1,1,100,1.19916,0.60998
clustered_1,1,200,1.16722,0.558
clustered_1,1,300,0.9863,0.5359
clustered_1,1,400,0.4851,0.2438
clustered_1,1,500,0.65598,0.35714
clustered_1,1,600,1.04642,0.54478
clustered_1,2,0,1.12209,0.63138
clustered_1,2,100,1.10022,0.59515
clustered_1,2,200,1.43176,0.6553
clustered_1,2,300,0.99754,0.53292
clustered_1,2,400,0.63912,0.30892
clustered_1,2,500,0.93361,0.48521
clustered_1,2,600,1.06154,0.5641
clustered_1,3,0,1.22432,0.66535
clustered_1,3,100,1.13478,0.60155
clustered_1,3,200,1.52868,0.71268
clustered_1,3,300,0.95645,0.51098
clustered_1,3,400,0.7211,0.35699
clustered_1,3,500,1.08567,0.59107
clustered_1,3,600,1.06189,0.5654
clustered_1,4,0,1.50601,0.71644
clustered_1,4,100,1.16353,0.62121
clustered_1,4,200,1.56673,0.72871
clustered_1,4,300,0.97954,0.50761
clustered_1,4,400,0.62803,0.29629
clustered_1,4,500,1.03102,0.55745
clustered_1,4,600,1.05491,0.55549
clustered_1,5,0,1.47393,0.70925
clustered_1,5,100,1.15107,0.61918
clustered_1,5,200,1.56055,0.73012
clustered_1,5,300,0.93984,0.48099
clustered_1,5,400,0.68577,0.32786
clustered_1,5,500,1.08665,0.59599
clustered_1,5,600,1.028,0.53419
clustered_10,1,0,1.06086,0.64198
clustered_10,1,100,1.00536,0.57413
clustered_10,1,200,1.41713,0.70088
clustered_10,1,300,0.84772,0.50346
clustered_10,1,400,0.73562,0.40625
clustered_10,1,500,0.47875,0.24495
clustered_10,1,600,0.3446,0.15625
clustered_10,2,0,1.12209,0.63138
clustered_10,2,100,1.08403,0.59564
clustered_10,2,200,1.44129,0.70477
clustered_10,2,300,0.94791,0.50521
clustered_10,2,400,0.96576,0.48677
clustered_10,2,500,0.50484,0.24531
clustered_10,2,600,0.2826,0.12382
clustered_10,3,0,1.22432,0.66535
clustered_10,3,100,1.16741,0.62062
clustered_10,3,200,1.36056,0.67855
clustered_10,3,300,1.0049,0.54062
clustered_10,3,400,0.86257,0.42814
clustered_10,3,500,0.55625,0.25629
clustered_10,3,600,0.41131,0.20216
clustered_10,4,0,1.50601,0.71644
clustered_10,4,100,1.18021,0.62287
clustered_10,4,200,1.43315,0.69784
clustered_10,4,300,1.04965,0.53816
clustered_10,4,400,0.79017,0.38923
clustered_10,4,500,0.60696,0.28552
clustered_10,4,600,0.47046,0.21137
clustered_10,5,0,1.47393,0.70925
clustered_10,5,100,1.12069,0.5992
clustered_10,5,200,1.43378,0.69916
clustered_10,5,300,1.03742,0.52764
clustered_10,5,400,0.75665,0.37205
clustered_10,5,500,0.59569,0.27722
clustered_10,5,600,0.47127,0.20581
clustered_11,1,0,1.06086,0.64198
clustered_11,1,100,1.26499,0.64758
clustered_11,1,200,1.2368,0.65153
clustered_11,1,300,0.59752,0.27989
clustered_11,1,400,0.54428,0.28819
clustered_11,1,500,0.83208,0.41582
clustered_11,1,600,0.51103,0.23268
clustered_11,2,0,1.12209,0.63138
clustered_11,2,100,1.23391,0.64015
clustered_11,2,200,1.26329,0.64337
clustered_11,2,300,0.76712,0.33775
