filename,r,sample_time,shannon,simpson
clustered_1,1,0,1.0114,0.61111
clustered_1,1,100,1.29825,0.66889
clustered_1,1,200,0.93911,0.51172
clustered_1,1,300,0.96475,0.5625
clustered_1,1,400,0.53492,0.25
clustered_1,1,500,-0.0,0.0
clustered_1,1,600,0.9532,0.52929
clustered_1,2,0,1.28687,0.64889
clustered_1,2,100,1.22889,0.63978
clustered_1,2,200,1.12283,0.5236
clustered_1,2,300,0.9694,0.56355
clustered_1,2,400,0.74056,0.35722
clustered_1,2,500,0.68374,0.37037
clustered_1,2,600,0.98744,0.52453
clustered_1,3,0,1.29658,0.67776
clustered_1,3,100,1.24214,0.65177
clustered_1,3,200,1.28382,0.61999
clustered_1,3,300,1.03396,0.57841
clustered_1,3,400,0.79501,0.37889
clustered_1,3,500,0.89212,0.52041
clustered_1,3,600,0.98082,0.50459
clustered_1,4,0,1.45395,0.71181
clustered_1,4,100,1.27359,0.65581
clustered_1,4,200,1.24089,0.60393
clustered_1,4,300,1.06089,0.58299
clustered_1,4,400,0.71664,0.3312
clustered_1,4,500,0.83235,0.47506
clustered_1,4,600,0.95463,0.47316
clustered_1,5,0,1.4876,0.73469
clustered_1,5,100,1.24194,0.64104
clustered_1,5,200,1.24223,0.61047
clustered_1,5,300,1.07347,0.57294
clustered_1,5,400,0.7272,0.33564
clustered_1,5,500,0.84226,0.49178
clustered_1,5,600,0.96039,0.47099
clustered_10,1,0,1.0114,0.61111
clustered_10,1,100,0.98182,0.52916
clustered_10,1,200,1.34037,0.68296
clustered_10,1,300,0.57638,0.30992
clustered_10,1,400,1.03608,0.54475
clustered_10,1,500,0.70835,0.345
clustered_10,1,600,0.32451,0.14497
clustered_10,2,0,1.28687,0.64889
clustered_10,2,100,1.22909,0.62808
clustered_10,2,200,1.331,0.67532
clustered_10,2,300,0.82878,0.42885
clustered_10,2,400,1.01951,0.51996
clustered_10,2,500,0.35234,0.1458
clustered_10,2,600,0.26929,0.11662
clustered_10,3,0,1.29658,0.67776
clustered_10,3,100,1.26508,0.62267
clustered_10,3,200,1.342,0.6741
clustered_10,3,300,0.86779,0.45196
clustered_10,3,400,0.84504,0.41308
clustered_10,3,500,0.37409,0.15917
clustered_10,3,600,0.38461,0.16231
clustered_10,4,0,1.45395,0.71181
clustered_10,4,100,1.25803,0.62387
clustered_10,4,200,1.37806,0.68289
clustered_10,4,300,0.94182,0.46663
clustered_10,4,400,0.78798,0.38379
clustered_10,4,500,0.38773,0.16866
clustered_10,4,600,0.38648,0.16968
clustered_10,5,0,1.4876,0.73469
clustered_10,5,100,1.17416,0.58912
clustered_10,5,200,1.40061,0.68905
clustered_10,5,300,0.90182,0.44591
clustered_10,5,400,0.75244,0.36104
clustered_10,5,500,0.47785,0.21321
clustered_10,5,600,0.35758,0.15586
clustered_11,1,0,1.0114,0.61111
clustered_11,1,100,1.25122,0.65052
clustered_11,1,200,1.26327,0.68166
clustered_11,1,300,0.69152,0.33318
clustered_11,1,400,0.63903,0.34
clustered_11,1,500,0.63366,0.2963
clustered_11,1,600,0.33301,0.15194
clustered_11,2,0,1.28687,0.64889
clustered_11,2,100,1.27997,0.64717
clustered_11,2,200,1.31576,0.6864
