filename,r,shannon,simpson
clustered_1,1,1.25987,0.59735
clustered_1,2,1.32319,0.62189
clustered_1,3,1.37469,0.64713
clustered_1,4,1.39427,0.647
clustered_1,5,1.37559,0.64018
clustered_10,1,1.31433,0.63186
clustered_10,2,1.35143,0.63244
clustered_10,3,1.33038,0.61858
clustered_10,4,1.37315,0.63012
clustered_10,5,1.34089,0.62142
clustered_11,1,1.21484,0.56289
clustered_11,2,1.25088,0.58686
clustered_11,3,1.28763,0.60274
clustered_11,4,1.31311,0.60654
clustered_11,5,1.31344,0.61027
clustered_12,1,1.10253,0.50696
clustered_12,2,1.18291,0.54017
clustered_12,3,1.26177,0.56996
clustered_12,4,1.32781,0.59379
clustered_12,5,1.32333,0.5947
clustered_13,1,1.22399,0.58263
clustered_13,2,1.35985,0.63557
clustered_13,3,1.36722,0.64076
clustered_13,4,1.38259,0.64267
clustered_13,5,1.38455,0.64638
clustered_14,1,1.30606,0.61993
clustered_14,2,1.30861,0.61344
clustered_14,3,1.32019,0.61778
clustered_14,4,1.36576,0.62783
clustered_14,5,1.36523,0.62811
clustered_15,1,1.27832,0.58662
clustered_15,2,1.28604,0.58709
clustered_15,3,1.31339,0.59914
clustered_15,4,1.32813,0.59893
clustered_15,5,1.31382,0.59583
clustered_16,1,1.26853,0.62683
clustered_16,2,1.2907,0.62316
clustered_16,3,1.3104,0.63186
clustered_16,4,1.35356,0.64369
clustered_16,5,1.33536,0.64157
clustered_17,1,1.25738,0.59174
clustered_17,2,1.28255,0.58837
clustered_17,3,1.30234,0.59815
clustered_17,4,1.31112,0.60083
clustered_17,5,1.31966,0.60801
clustered_18,1,1.31698,0.64553
clustered_18,2,1.31511,0.64372
clustered_18,3,1.28944,0.63671
clustered_18,4,1.32351,0.63976
clustered_18,5,1.33373,0.6439
clustered_19,1,1.41158,0.65209
clustered_19,2,1.35918,0.63282
clustered_19,3,1.34825,0.62856
clustered_19,4,1.38453,0.63631
clustered_19,5,1.37067,0.6316
clustered_2,1,1.12819,0.53864
clustered_2,2,1.16921,0.54485
clustered_2,3,1.1945,0.55484
clustered_2,4,1.2339,0.56684
clustered_2,5,1.22665,0.56622
clustered_20,1,1.40827,0.67023
clustered_20,2,1.41407,0.65483
clustered_20,3,1.41747,0.65443
clustered_20,4,1.42123,0.65125
clustered_20,5,1.39409,0.64171
clustered_3,1,1.28779,0.60827
clustered_3,2,1.25804,0.58508
clustered_3,3,1.2285,0.57463
clustered_3,4,1.2459,0.57571
clustered_3,5,1.25329,0.5824
clustered_4,1,1.30596,0.63497
clustered_4,2,1.29411,0.62163
clustered_4,3,1.27559,0.60929
clustered_4,4,1.32776,0.62634
clustered_4,5,1.31388,0.62455
clustered_5,1,1.51953,0.70273
clustered_5,2,1.52591,0.69944
clustered_5,3,1.4926,0.68788
clustered_5,4,1.50809,0.6905
clustered_5,5,1.47498,0.68124
clustered_6,1,1.23225,0.59329
clustered_6,2,1.30902,0.62483
clustered_6,3,1.30845,0.62267
clustered_6,4,1.31176,0.61732
clustered_6,5,1.30774,0.61547
clustered_7,1,1.26505,0.59427
clustered_7,2,1.24857,0.57653
clustered_7,3,1.27611,0.58652
clustered_7,4,1.28916,0.59169
clustered_7,5,1.29248,0.59587
clustered_8,1,1.27893,0.57737
clustered_8,2,1.27076,0.58667
clustered_8,3,1.36934,0.6262
clustered_8,4,1.40272,0.63593
clustered_8,5,1.38614,0.62831
clustered_9,1,1.29138,0.60221
clustered_9,2,1.2246,0.57344
clustered_9,3,1.28236,0.5962
clustered_9,4,1.31913,0.60765
clustered_9,5,1.28349,0.59616
random_1,1,1.1546,0.55706
random_1,2,1.10439,0.52943
random_1,3,1.14067,0.54035
random_1,4,1.13107,0.53587
random_1,5,1.14162,0.53836
random_10,1,1.45261,0.71933
random_10,2,1.44949,0.71609
random_10,3,1.41694,0.70867
random_10,4,1.45559,0.7192
random_10,5,1.4571,0.71929
random_11,1,1.38684,0.66923
random_11,2,1.38758,0.66872
random_11,3,1.39734,0.67512
random_11,4,1.39455,0.67572
random_11,5,1.39574,0.67488
random_12,1,1.32472,0.65135
random_12,2,1.36747,0.66555
random_12,3,1.41547,0.68007
random_12,4,1.41253,0.67775
random_12,5,1.393,0.6701
random_13,1,1.12274,0.55658
random_13,2,1.09034,0.54284
random_13,3,1.14947,0.56483
random_13,4,1.16469,0.57142
random_13,5,1.1836,0.57718
random_14,1,1.43886,0.68339
random_14,2,1.36449,0.64026
random_14,3,1.38793,0.64728
random_14,4,1.37753,0.64343
random_14,5,1.38213,0.64462
random_15,1,1.27613,0.64593
random_15,2,1.30362,0.65257
random_15,3,1.30602,0.65381
random_15,4,1.31197,0.65605
random_15,5,1.31578,0.65603
random_16,1,1.23945,0.63134
random_16,2,1.27752,0.63658
random_16,3,1.29146,0.64327
random_16,4,1.29971,0.64175
random_16,5,1.31041,0.64398
random_17,1,1.19159,0.58172
random_17,2,1.19664,0.58517
random_17,3,1.22851,0.59912
random_17,4,1.23106,0.59992
random_17,5,1.2304,0.59945
random_18,1,1.49177,0.73098
