filename,sample_time,shannon,simpson
random_1,0,1.54154,0.69375
random_1,100,1.11441,0.55906
random_1,200,1.06735,0.58577
random_1,300,1.20413,0.62053
random_1,400,1.03235,0.46928
random_1,500,1.02409,0.57091
random_1,600,0.94002,0.56012
random_2,0,1.54154,0.69375
random_2,100,1.03414,0.51007
random_2,200,0.9931,0.55974
random_2,300,1.33385,0.64045
random_2,400,1.2707,0.61997
random_2,500,1.30778,0.66445
random_2,600,0.80452,0.49254
random_3,0,1.54154,0.69375
random_3,100,0.99163,0.4865
random_3,200,0.97259,0.54997
random_3,300,1.1703,0.58181
random_3,400,1.36372,0.65164
random_3,500,1.30116,0.70363
random_3,600,1.26624,0.693
random_4,0,1.54154,0.69375
random_4,100,1.03475,0.50783
random_4,200,0.93895,0.51172
random_4,300,1.43996,0.70479
random_4,400,0.98965,0.49716
random_4,500,1.34946,0.71528
random_4,600,1.24531,0.68968
random_5,0,1.54154,0.69375
random_5,100,0.99938,0.48987
random_5,200,1.00688,0.56242
random_5,300,1.29491,0.63868
random_5,400,1.10729,0.59181
random_5,500,1.51663,0.74222
random_5,600,0.94067,0.54877
random_6,0,1.54154,0.69375
random_6,100,0.97685,0.47764
random_6,200,0.94876,0.51753
random_6,300,1.19322,0.54985
random_6,400,1.27364,0.65173
random_6,500,1.17931,0.64135
random_6,600,1.23842,0.66708
random_7,0,1.54154,0.69375
random_7,100,1.18775,0.58878
random_7,200,1.11871,0.58183
random_7,300,1.30102,0.64765
random_7,400,1.30894,0.63842
random_7,500,0.9987,0.57548
random_7,600,0.97053,0.57633
random_8,0,1.54154,0.69375
random_8,100,1.14857,0.55989
random_8,200,1.05017,0.56651
random_8,300,1.27212,0.62491
random_8,400,1.4264,0.69034
random_8,500,0.96918,0.53781
random_8,600,0.9751,0.56627
random_9,0,1.54154,0.69375
random_9,100,1.17448,0.58264
random_9,200,1.0536,0.56866
random_9,300,1.28448,0.63045
random_9,400,1.42851,0.684
random_9,500,0.97122,0.5658
random_9,600,0.98607,0.56158
random_10,0,1.54154,0.69375
random_10,100,1.12109,0.54991
random_10,200,1.04624,0.5679
random_10,300,1.65008,0.75813
random_10,400,0.89255,0.50587
random_10,500,0.60607,0.30671
random_10,600,0.79884,0.4592
random_11,0,1.54154,0.69375
random_11,100,1.28126,0.65013
random_11,200,1.15691,0.60879
random_11,300,1.51028,0.70888
random_11,400,1.21925,0.62696
random_11,500,0.8256,0.4941
random_11,600,1.04251,0.60489
random_12,0,1.54154,0.69375
random_12,100,1.17884,0.59613
