filename,sample_time,r,sample_id,0,1,2,3,4,5,6,7,8
random_1,0,1,0,0,0,0,0,0,0,0,0,0
random_1,0,1,1,0,1,0,0,0,0,0,0,0
random_1,0,1,2,0,0,0,0,0,0,0,0,0
random_1,0,1,3,0,1,0,0,0,0,0,0,0
random_1,0,1,4,0,0,0,0,0,0,0,0,0
random_1,0,1,5,3,0,0,0,0,0,0,0,0
random_1,0,1,6,1,0,0,3,0,0,0,0,0
random_1,0,1,7,0,1,0,0,1,0,0,0,0
random_1,0,1,8,1,0,1,0,0,0,0,0,0
random_1,0,1,9,0,0,0,0,1,0,0,0,0
random_1,0,1,10,1,0,1,0,0,0,0,0,0
random_1,0,1,11,0,0,0,0,1,0,0,0,0
random_1,0,2,0,2,0,0,0,0,1,0,0,0
random_1,0,2,1,2,1,0,0,0,0,0,0,0
random_1,0,2,2,2,0,0,0,0,1,0,0,0
random_1,0,2,3,2,1,0,0,0,0,0,0,0
random_1,0,2,4,0,0,0,0,0,0,0,0,0
random_1,0,2,5,6,1,2,0,0,0,0,0,0
random_1,0,2,6,2,3,1,3,0,0,0,0,0
random_1,0,2,7,0,1,0,0,1,0,0,0,0
random_1,0,2,8,1,1,1,0,0,0,0,0,0
random_1,0,2,9,3,1,0,0,1,0,0,0,0
random_1,0,2,10,1,1,1,0,0,0,0,0,0
random_1,0,2,11,3,1,0,0,1,0,0,0,0
random_1,0,3,0,6,0,0,1,0,2,0,0,0
random_1,0,3,1,2,3,1,1,0,0,0,0,0
random_1,0,3,2,6,0,0,1,0,2,0,0,0
random_1,0,3,3,2,3,1,1,0,0,0,0,0
random_1,0,3,4,6,1,3,0,2,0,0,0,0
random_1,0,3,5,12,3,3,0,0,2,1,0,0
random_1,0,3,6,4,3,1,4,1,0,0,0,0
random_1,0,3,7,7,4,0,0,1,0,0,0,0
random_1,0,3,8,4,3,1,0,0,1,0,0,0
random_1,0,3,9,7,2,0,0,1,0,0,0,1
random_1,0,3,10,4,3,1,0,0,1,0,0,0
random_1,0,3,11,7,2,0,0,1,0,0,0,1
random_1,0,4,0,7,3,1,1,0,2,0,0,0
random_1,0,4,1,6,3,1,2,0,0,0,0,0
random_1,0,4,2,7,3,1,1,0,2,0,0,0
random_1,0,4,3,6,3,1,2,0,0,0,0,0
random_1,0,4,4,9,1,3,1,2,1,0,0,0
random_1,0,4,5,18,4,3,0,1,2,1,0,0
random_1,0,4,6,8,4,1,5,3,0,1,0,0
random_1,0,4,7,11,5,1,1,1,0,0,0,0
random_1,0,4,8,10,5,1,1,1,1,0,1,0
random_1,0,4,9,11,6,0,1,1,1,0,0,1
random_1,0,4,10,10,5,1,1,1,1,0,1,0
random_1,0,4,11,11,6,0,1,1,1,0,0,1
random_1,0,5,0,11,7,2,2,0,2,0,0,0
random_1,0,5,1,14,5,1,3,1,0,0,0,0
random_1,0,5,2,11,7,2,2,0,2,0,0,0
random_1,0,5,3,14,5,1,3,1,0,0,0,0
random_1,0,5,4,13,1,3,4,2,3,0,0,0
random_1,0,5,5,22,5,5,2,2,3,1,1,1
random_1,0,5,6,11,5,1,6,3,0,2,0,1
random_1,0,5,7,19,9,2,2,2,0,0,0,0
random_1,0,5,8,14,7,2,1,2,1,0,1,0
random_1,0,5,9,16,8,0,2,2,1,0,0,2
random_1,0,5,10,14,7,2,1,2,1,0,1,0
random_1,0,5,11,16,8,0,2,2,1,0,0,2
random_1,100,1,0,2,0,0,0,0,0,0,0,0
random_1,100,1,1,3,0,0,1,0,0,0,0,0
random_1,100,1,2,2,0,1,1,0,1,0,0,0
random_1,100,1,3,8,0,0,0,0,0,0,0,0
random_1,100,1,4,0,0,0,0,0,0,0,0,0
random_1,100,1,5,1,0,0,0,0,0,0,0,0
random_1,100,1,6,0,0,0,0,0,0,0,0,0
random_1,100,1,7,0,0,0,0,0,0,0,1,0
random_1,100,1,8,0,0,0,0,0,0,0,0,0
random_1,100,1,9,0,0,0,0,0,0,0,0,0
random_1,100,1,10,2,0,1,1,0,0,0,0,0
random_1,100,1,11,4,0,0,0,0,0,0,0,0
random_1,100,2,0,4,0,0,0,0,0,0,0,0
random_1,100,2,1,16,0,0,1,0,0,0,0,0
random_1,100,2,2,14,0,1,5,0,1,0,0,0
random_1,100,2,3,20,0,0,3,0,1,0,0,0
random_1,100,2,4,0,0,0,0,0,0,0,0,0
random_1,100,2,5,3,0,0,2,0,1,0,0,0
random_1,100,2,6,0,0,0,0,0,0,0,0,0
random_1,100,2,7,0,0,0,0,0,0,0,1,0
random_1,100,2,8,0,0,0,0,0,0,0,0,0
random_1,100,2,9,0,0,0,0,0,0,0,0,0
random_1,100,2,10,2,0,1,1,0,0,0,0,0
random_1,100,2,11,5,0,0,1,0,1,0,0,0
random_1,100,3,0,12,0,0,0,0,2,0,0,0
random_1,100,3,1,26,0,0,3,0,0,0,0,0
random_1,100,3,2,18,0,1,7,0,2,0,0,0
random_1,100,3,3,32,0,0,3,0,1,0,0,0
random_1,100,3,4,3,0,0,0,0,1,0,0,0
random_1,100,3,5,8,0,0,2,0,1,0,0,0
random_1,100,3,6,0,0,0,0,0,0,0,0,0
random_1,100,3,7,1,0,0,1,0,0,0,1,0
random_1,100,3,8,1,0,0,1,0,0,0,0,0
random_1,100,3,9,0,0,0,0,0,0,0,0,0
random_1,100,3,10,2,0,1,2,0,0,0,0,0
random_1,100,3,11,13,0,0,1,0,1,0,0,0
random_1,100,4,0,22,0,0,2,0,3,0,0,0
random_1,100,4,1,47,0,0,8,0,0,0,0,0
random_1,100,4,2,19,0,2,11,0,2,0,0,0
random_1,100,4,3,53,0,0,6,0,2,0,0,0
random_1,100,4,4,10,0,1,0,0,2,0,0,0
random_1,100,4,5,12,0,0,3,0,1,0,0,0
random_1,100,4,6,0,0,0,0,0,0,0,0,0
random_1,100,4,7,1,0,0,6,0,2,0,1,0
random_1,100,4,8,2,0,0,1,0,0,0,0,0
random_1,100,4,9,0,0,0,0,0,0,0,0,0
random_1,100,4,10,5,0,2,3,0,1,0,0,0
random_1,100,4,11,20,0,0,4,0,1,0,0,0
random_1,100,5,0,32,0,0,5,0,3,0,0,0
random_1,100,5,1,71,0,0,12,0,0,0,0,0
random_1,100,5,2,40,0,2,16,0,3,0,1,0
random_1,100,5,3,69,0,0,10,0,3,0,0,0
random_1,100,5,4,12,0,1,0,0,2,0,0,0
random_1,100,5,5,20,0,0,3,0,3,0,0,0
random_1,100,5,6,0,0,0,0,0,0,0,0,0
random_1,100,5,7,5,0,1,7,0,2,0,1,0
random_1,100,5,8,2,0,0,1,0,0,0,0,0
random_1,100,5,9,0,0,0,0,0,0,0,0,0
random_1,100,5,10,5,0,2,3,0,1,0,0,0
random_1,100,5,11,24,0,0,9,0,3,0,0,0
random_1,200,1,0,8,0,0,0,0,0,0,0,0
random_1,200,1,1,0,0,0,0,0,0,0,0,0
random_1,200,1,2,5,0,0,0,0,0,0,0,0
random_1,200,1,3,6,0,0,0,0,0,0,0,0
random_1,200,1,4,0,0,0,0,0,0,0,0,0
random_1,200,1,5,0,0,0,3,0,1,0,0,0
random_1,200,1,6,1,0,0,0,0,0,0,0,0
random_1,200,1,7,0,0,0,1,0,0,0,0,0
random_1,200,1,8,0,0,0,0,0,0,0,0,0
random_1,200,1,9,4,0,0,0,0,0,0,0,0
random_1,200,1,10,0,0,0,0,0,0,0,0,0
random_1,200,1,11,10,0,0,0,0,0,0,0,0
random_1,200,2,0,14,0,0,0,0,0,0,0,0
random_1,200,2,1,0,0,0,0,0,0,0,0,0
random_1,200,2,2,9,0,0,0,0,0,0,0,0
random_1,200,2,3,15,0,0,0,0,0,0,0,0
random_1,200,2,4,1,0,0,0,0,0,0,0,0
random_1,200,2,5,0,0,0,5,0,1,0,0,0
random_1,200,2,6,12,0,0,0,0,2,0,0,0
random_1,200,2,7,0,0,0,3,0,0,0,0,0
random_1,200,2,8,1,0,0,0,0,0,0,0,0
random_1,200,2,9,14,0,0,0,0,0,0,0,0
random_1,200,2,10,0,0,0,0,0,0,0,0,0
random_1,200,2,11,32,0,0,0,0,0,0,0,0
random_1,200,3,0,28,0,0,0,0,0,0,0,0
random_1,200,3,1,0,0,0,0,0,0,0,0,0
random_1,200,3,2,25,0,0,0,0,0,0,0,0
random_1,200,3,3,20,0,0,0,0,0,0,0,0
random_1,200,3,4,4,0,0,0,0,0,0,0,0
random_1,200,3,5,0,0,0,7,0,2,0,0,0
random_1,200,3,6,15,0,0,0,0,2,0,0,0
random_1,200,3,7,0,0,0,8,0,0,0,0,0
random_1,200,3,8,1,0,0,0,0,0,0,0,0
random_1,200,3,9,21,0,0,0,0,0,0,0,0
random_1,200,3,10,0,0,0,0,0,0,0,0,0
