filename,r,mae,mdae,r2
random_1,1,0.3162333333333333,0.11375,0.6602298355708427
random_1,2,0.32458518518518514,0.32216025641025636,0.7076903280417935
random_1,3,0.2505111111111111,0.2109166666666667,0.8130311777567494
random_1,4,0.25366449864498647,0.06197357723577235,0.7765276298873327
random_1,5,0.2555304189435337,0.02631830601092898,0.7681387044678103
random_2,1,0.23551481481481482,0.0735,-0.7479646370876099
random_2,2,0.22493561253561253,0.0735,-0.44387322528653184
random_2,3,0.24499259259259254,0.046833333333333324,-0.8220181615558337
random_2,4,0.2203650406504065,0.043829674796747965,-0.722705321888194
random_2,5,0.18679241044323014,0.021705191256830604,-0.15347287907739715
random_3,1,0.7941314814814815,0.04098333333333333,-1.5075023872768383
random_3,2,0.6437135327635329,0.041067948717948714,-0.7422722706577498
random_3,3,0.6504388888888889,0.07436666666666666,-0.7519438126073528
random_3,4,0.6430676151761517,0.0950382113821138,-0.716707355489546
random_3,5,0.677542714025501,0.06606065573770492,-0.9755793067323657
random_4,1,0.1403814814814815,0.0787,0.9143738679767193
random_4,2,0.15975470085470084,0.14746025641025645,0.9203872626256313
random_4,3,0.1907518518518519,0.14413333333333334,0.8557878256995572
random_4,4,0.1749251129177959,0.05138130081300811,0.8627383004597946
random_4,5,0.18093752276867037,0.04151857923497264,0.8437191376081055
random_5,1,0.5563166666666666,0.16105,0.11322810266946504
random_5,2,0.5292089743589742,0.16091025641025644,0.14795109968958198
random_5,3,0.5262611111111111,0.09116666666666667,0.10640473162883168
random_5,4,0.5135372628726286,0.06710162601626016,0.1395021888090433
random_5,5,0.49361994535519127,0.0465765027322404,0.1784252441987254
random_6,1,0.2847944444444444,0.12953333333333333,0.43864019693453715
random_6,2,0.3520309116809117,0.09050384615384616,0.19686347798622195
random_6,3,0.26701666666666657,0.13768333333333332,0.4456909511780437
random_6,4,0.27142497741644084,0.09800853658536587,0.41147894631674353
random_6,5,0.2733797510625379,0.053485792349726724,0.37673185880727866
clustered_1,1,0.33315185185185187,0.10945,0.8419926188284668
clustered_1,2,0.42105270655270655,0.1310179487179487,0.8200462097962323
clustered_1,3,0.41885925925925915,0.08138333333333334,0.8249239991401788
clustered_1,4,0.37392249322493215,0.04245853658536583,0.8558982371293118
clustered_1,5,0.3730992106860959,0.04451830601092899,0.8515768254371052
clustered_2,1,0.18354259259259254,0.11481666666666665,0.9881812229333703
clustered_2,2,0.14593575498575487,0.05131794871794871,0.9878638992081854
clustered_2,3,0.1492351851851852,0.07593333333333332,0.9905978110494422
clustered_2,4,0.21666770551038844,0.0619,0.9752852575044422
clustered_2,5,0.1923218882817244,0.05944972677595628,0.9785713387007462
clustered_3,1,0.377525925925926,0.09945,0.8956718596725028
clustered_3,2,0.3992136752136751,0.06818589743589744,0.8959385501135193
clustered_3,3,0.40254074074074075,0.07278333333333332,0.8877204335335362
clustered_3,4,0.4204388437217706,0.08318983739837398,0.8734281460278921
clustered_3,5,0.4167621736490589,0.08852103825136612,0.8872447060177532
clustered_4,1,0.1486777777777778,0.1054,0.9871285335398178
clustered_4,2,0.17937977207977215,0.1371679487179487,0.9821005085654821
clustered_4,3,0.15604814814814816,0.08283333333333331,0.9747255488372447
clustered_4,4,0.08212059620596197,0.044206097560975266,0.9951986681492371
clustered_4,5,0.10728099574984816,0.07091311475409837,0.9929021023627921
clustered_5,1,0.3833462962962963,0.07508333333333334,0.6896261038240366
clustered_5,2,0.35599928774928774,0.04945769230769226,0.7108925208300382
clustered_5,3,0.3897314814814814,0.16946666666666665,0.6831552100137515
clustered_5,4,0.4051967028003614,0.21080853658536589,0.6800856819783969
clustered_5,5,0.4282985731633273,0.1932155737704918,0.6374330720960615
clustered_6,1,0.5097685185185186,0.1796,0.3802625493849313
clustered_6,2,0.4115240740740741,0.06559230769230776,0.5073979815679164
clustered_6,3,0.4012425925925926,0.06586666666666666,0.5408109001387467
clustered_6,4,0.4621112466124661,0.15692357723577235,0.4325928230535099
clustered_6,5,0.4151670613236188,0.15985573770491804,0.5717470200401041
