filename,r,acc,prec,rec
"['random_1' 'random_2' 'random_3' 'random_4' 'random_5' 'random_6'
 'random_7' 'random_8' 'random_9' 'random_10' 'random_11' 'random_12'
 'random_13' 'random_14' 'random_15' 'random_16' 'random_17' 'random_18'
 'random_19' 'random_20']",1,0.8888888888888888,1.0,0.8888888888888888
"['random_1' 'random_2' 'random_3' 'random_4' 'random_5' 'random_6'
 'random_7' 'random_8' 'random_9' 'random_10' 'random_11' 'random_12'
 'random_13' 'random_14' 'random_15' 'random_16' 'random_17' 'random_18'
 'random_19' 'random_20']",2,1.0,1.0,1.0
"['random_1' 'random_2' 'random_3' 'random_4' 'random_5' 'random_6'
 'random_7' 'random_8' 'random_9' 'random_10' 'random_11' 'random_12'
 'random_13' 'random_14' 'random_15' 'random_16' 'random_17' 'random_18'
 'random_19' 'random_20']",3,1.0,1.0,1.0
"['random_1' 'random_2' 'random_3' 'random_4' 'random_5' 'random_6'
 'random_7' 'random_8' 'random_9' 'random_10' 'random_11' 'random_12'
 'random_13' 'random_14' 'random_15' 'random_16' 'random_17' 'random_18'
 'random_19' 'random_20']",4,1.0,1.0,1.0
"['random_1' 'random_2' 'random_3' 'random_4' 'random_5' 'random_6'
 'random_7' 'random_8' 'random_9' 'random_10' 'random_11' 'random_12'
 'random_13' 'random_14' 'random_15' 'random_16' 'random_17' 'random_18'
 'random_19' 'random_20']",5,1.0,1.0,1.0
"['clustered_1' 'clustered_2' 'clustered_3' 'clustered_4' 'clustered_5'
 'clustered_6' 'clustered_7' 'clustered_8' 'clustered_9' 'clustered_10'
 'clustered_11' 'clustered_12' 'clustered_13' 'clustered_14'
 'clustered_15' 'clustered_16' 'clustered_17' 'clustered_18'
 'clustered_19' 'clustered_20']",1,1.0,1.0,1.0
"['clustered_1' 'clustered_2' 'clustered_3' 'clustered_4' 'clustered_5'
 'clustered_6' 'clustered_7' 'clustered_8' 'clustered_9' 'clustered_10'
 'clustered_11' 'clustered_12' 'clustered_13' 'clustered_14'
 'clustered_15' 'clustered_16' 'clustered_17' 'clustered_18'
 'clustered_19' 'clustered_20']",2,1.0,1.0,1.0
"['clustered_1' 'clustered_2' 'clustered_3' 'clustered_4' 'clustered_5'
 'clustered_6' 'clustered_7' 'clustered_8' 'clustered_9' 'clustered_10'
 'clustered_11' 'clustered_12' 'clustered_13' 'clustered_14'
 'clustered_15' 'clustered_16' 'clustered_17' 'clustered_18'
 'clustered_19' 'clustered_20']",3,1.0,1.0,1.0
"['clustered_1' 'clustered_2' 'clustered_3' 'clustered_4' 'clustered_5'
 'clustered_6' 'clustered_7' 'clustered_8' 'clustered_9' 'clustered_10'
 'clustered_11' 'clustered_12' 'clustered_13' 'clustered_14'
 'clustered_15' 'clustered_16' 'clustered_17' 'clustered_18'
 'clustered_19' 'clustered_20']",4,1.0,1.0,1.0
"['clustered_1' 'clustered_2' 'clustered_3' 'clustered_4' 'clustered_5'
 'clustered_6' 'clustered_7' 'clustered_8' 'clustered_9' 'clustered_10'
 'clustered_11' 'clustered_12' 'clustered_13' 'clustered_14'
 'clustered_15' 'clustered_16' 'clustered_17' 'clustered_18'
 'clustered_19' 'clustered_20']",5,1.0,1.0,1.0
